week_starting,channel,segment_focus,spend_eur,quotes_started,new_policies
2025-01-06,brand-search,all,1443,122,37
2025-01-06,podcast-sponsorship,juggler,691,27,9
2025-01-06,price-comparison,switcher,355,62,36
2025-01-06,social,juggler,1903,87,15
2025-01-13,brand-search,all,1377,114,34
2025-01-13,podcast-sponsorship,juggler,691,24,8
2025-01-13,price-comparison,switcher,351,60,36
2025-01-13,social,juggler,1808,82,14
2025-01-20,brand-search,all,1374,111,33
2025-01-20,podcast-sponsorship,juggler,672,24,7
2025-01-20,price-comparison,switcher,358,64,36
2025-01-20,social,juggler,1867,83,13
2025-01-27,brand-search,all,1364,114,35
2025-01-27,podcast-sponsorship,juggler,705,24,7
2025-01-27,price-comparison,switcher,348,63,36
2025-01-27,social,juggler,1826,87,16
2025-02-03,brand-search,all,1355,134,40
2025-02-03,podcast-sponsorship,juggler,723,28,9
2025-02-03,price-comparison,switcher,348,62,35
2025-02-03,radio,payer,4731,23,8
2025-02-03,social,juggler,1859,84,14
2025-02-10,brand-search,all,1351,147,45
2025-02-10,podcast-sponsorship,juggler,679,26,8
2025-02-10,price-comparison,switcher,357,63,36
2025-02-10,radio,payer,4650,22,7
2025-02-10,social,juggler,1780,92,16
2025-02-17,brand-search,all,1387,135,40
2025-02-17,podcast-sponsorship,juggler,676,28,9
2025-02-17,price-comparison,switcher,341,62,37
2025-02-17,radio,payer,4681,23,7
2025-02-17,social,juggler,1834,89,15
2025-02-24,brand-search,all,1455,137,43
2025-02-24,podcast-sponsorship,juggler,709,27,9
2025-02-24,price-comparison,switcher,356,61,35
2025-02-24,radio,payer,4651,19,6
2025-02-24,social,juggler,1903,90,15
2025-03-03,brand-search,all,1365,138,41
2025-03-03,podcast-sponsorship,juggler,713,25,8
2025-03-03,price-comparison,switcher,353,62,36
2025-03-03,radio,payer,4450,22,7
2025-03-03,social,juggler,1870,92,15
2025-03-10,brand-search,all,1370,297,89
2025-03-10,podcast-sponsorship,juggler,719,27,9
2025-03-10,price-comparison,switcher,348,134,79
2025-03-10,radio,payer,4428,23,8
2025-03-10,social,juggler,1891,92,16
2025-03-17,brand-search,all,1379,310,93
2025-03-17,podcast-sponsorship,juggler,716,27,8
2025-03-17,price-comparison,switcher,342,144,82
2025-03-17,radio,payer,4475,21,7
2025-03-17,social,juggler,1820,84,15
2025-03-24,brand-search,all,1437,259,78
2025-03-24,podcast-sponsorship,juggler,707,27,8
2025-03-24,price-comparison,switcher,344,116,66
2025-03-24,radio,payer,4525,23,8
2025-03-24,social,juggler,1898,90,15
2025-03-31,brand-search,all,1452,217,66
2025-03-31,podcast-sponsorship,juggler,677,26,8
2025-03-31,price-comparison,switcher,351,95,57
2025-03-31,radio,payer,4452,23,8
2025-03-31,social,juggler,1914,92,16
2025-04-07,brand-search,all,1451,124,38
2025-04-07,podcast-sponsorship,juggler,720,26,8
2025-04-07,price-comparison,switcher,563,69,39
2025-04-07,social,juggler,1904,89,15
2025-04-14,brand-search,all,1400,124,39
2025-04-14,podcast-sponsorship,juggler,727,24,7
2025-04-14,price-comparison,switcher,548,67,39
2025-04-14,social,juggler,1906,91,16
2025-04-21,brand-search,all,1449,116,33
2025-04-21,podcast-sponsorship,juggler,717,25,8
2025-04-21,price-comparison,switcher,547,68,40
2025-04-21,social,juggler,1776,87,15
2025-04-28,brand-search,all,1436,118,35
2025-04-28,podcast-sponsorship,juggler,677,26,8
2025-04-28,price-comparison,switcher,545,68,39
2025-04-28,social,juggler,1818,83,15
2025-05-05,brand-search,all,1454,115,33
2025-05-05,podcast-sponsorship,juggler,703,27,9
2025-05-05,price-comparison,switcher,574,64,38
2025-05-05,social,juggler,1915,92,15
2025-05-12,brand-search,all,1434,114,36
2025-05-12,podcast-sponsorship,juggler,694,26,8
2025-05-12,price-comparison,switcher,563,68,40
2025-05-12,social,juggler,1846,93,16
2025-05-19,brand-search,all,1429,125,37
2025-05-19,podcast-sponsorship,juggler,700,24,7
2025-05-19,price-comparison,switcher,563,68,39
2025-05-19,social,juggler,1821,89,16
2025-05-26,brand-search,all,1360,115,35
2025-05-26,podcast-sponsorship,juggler,718,27,8
2025-05-26,price-comparison,switcher,570,66,39
2025-05-26,social,juggler,1838,82,14
2025-06-02,brand-search,all,1423,111,33
2025-06-02,podcast-sponsorship,juggler,708,25,8
2025-06-02,price-comparison,switcher,360,60,35
2025-06-02,social,juggler,1921,94,15
2025-06-09,brand-search,all,1405,112,35
2025-06-09,podcast-sponsorship,juggler,702,26,8
2025-06-09,price-comparison,switcher,344,59,36
2025-06-09,social,juggler,1899,92,15
2025-06-16,brand-search,all,1452,122,36
2025-06-16,podcast-sponsorship,juggler,712,27,8
2025-06-16,price-comparison,switcher,355,60,36
2025-06-16,social,juggler,1850,93,17
2025-06-23,brand-search,all,1415,118,36
2025-06-23,podcast-sponsorship,juggler,717,27,9
2025-06-23,price-comparison,switcher,356,65,37
2025-06-23,social,juggler,1875,93,15
2025-06-30,brand-search,all,1372,125,39
2025-06-30,podcast-sponsorship,juggler,717,26,8
2025-06-30,price-comparison,switcher,345,60,35
2025-06-30,social,juggler,1791,85,15
2025-07-07,brand-search,all,1391,121,35
2025-07-07,podcast-sponsorship,juggler,717,26,8
2025-07-07,price-comparison,switcher,349,61,37
2025-07-07,social,juggler,1809,88,16
2025-07-14,brand-search,all,1346,120,37
2025-07-14,podcast-sponsorship,juggler,700,27,8
2025-07-14,price-comparison,switcher,341,63,36
2025-07-14,social,juggler,1899,89,15
2025-07-14,social,juggler,1899,89,15
2025-07-21,brand-search,all,1432,115,34
2025-07-21,podcast-sponsorship,juggler,682,28,8
2025-07-21,price-comparison,switcher,347,65,38
2025-07-21,social,juggler,1807,82,14
2025-07-28,brand-search,all,1359,112,34
2025-07-28,podcast-sponsorship,juggler,717,28,9
2025-07-28,price-comparison,switcher,358,59,35
2025-07-28,social,juggler,1891,85,15
2025-08-04,brand-search,all,1436,123,37
2025-08-04,podcast-sponsorship,juggler,676,26,8
2025-08-04,price-comparison,switcher,359,61,35
2025-08-04,social,juggler,1858,92,16
2025-08-11,brand-search,all,1368,112,35
2025-08-11,podcast-sponsorship,juggler,678,28,8
2025-08-11,price-comparison,switcher,358,59,34
2025-08-11,social,juggler,1788,93,16
2025-08-18,brand-search,all,1386,116,34
2025-08-18,podcast-sponsorship,juggler,726,24,8
2025-08-18,price-comparison,switcher,348,63,37
2025-08-18,social,juggler,1901,85,15
2025-08-25,brand-search,all,1394,114,35
2025-08-25,podcast-sponsorship,juggler,689,27,8
2025-08-25,price-comparison,switcher,351,61,37
2025-08-25,social,juggler,1834,90,16
2025-09-01,brand-search,all,1453,145,43
2025-09-01,podcast-sponsorship,juggler,696,27,8
2025-09-01,price-comparison,switcher,358,61,37
2025-09-01,radio,payer,4651,19,7
2025-09-01,social,juggler,1832,82,15
2025-09-08,brand-search,all,1358,148,43
2025-09-08,podcast-sponsorship,juggler,702,27,9
2025-09-08,price-comparison,switcher,350,64,36
2025-09-08,radio,payer,4762,23,7
2025-09-08,social,juggler,1812,90,14
2025-09-15,brand-search,all,1364,135,40
2025-09-15,podcast-sponsorship,juggler,701,28,8
2025-09-15,price-comparison,switcher,352,60,34
2025-09-15,radio,payer,4510,21,7
2025-09-15,social,juggler,1833,87,14
2025-09-22,brand-search,all,1401,146,45
2025-09-22,podcast-sponsorship,juggler,688,24,8
2025-09-22,price-comparison,switcher,360,59,33
2025-09-22,radio,payer,4479,22,7
2025-09-22,social,juggler,1845,92,15
2025-09-29,brand-search,all,1351,144,44
2025-09-29,podcast-sponsorship,juggler,681,26,8
2025-09-29,price-comparison,switcher,357,60,34
2025-09-29,radio,payer,4536,22,8
2025-09-29,social,juggler,1790,82,13
2025-10-06,brand-search,all,1435,147,43
2025-10-06,podcast-sponsorship,juggler,705,27,9
2025-10-06,price-comparison,switcher,347,61,36
2025-10-06,radio,payer,4437,20,6
2025-10-06,social,juggler,1890,89,15
2025-10-13,brand-search,all,1366,146,44
2025-10-13,podcast-sponsorship,juggler,715,25,8
2025-10-13,price-comparison,switcher,341,65,37
2025-10-13,radio,payer,4711,23,8
2025-10-13,social,juggler,1813,94,16
2025-10-20,brand-search,all,1452,133,40
2025-10-20,podcast-sponsorship,juggler,726,27,8
2025-10-20,price-comparison,switcher,345,64,38
2025-10-20,radio,payer,4633,21,7
2025-10-20,social,juggler,1892,87,15
2025-10-27,brand-search,all,1433,147,46
2025-10-27,podcast-sponsorship,juggler,712,26,9
2025-10-27,price-comparison,switcher,345,64,38
2025-10-27,radio,payer,4779,23,8
2025-10-27,social,juggler,1788,89,16
2025-11-03,brand-search,all,1394,123,38
2025-11-03,podcast-sponsorship,juggler,675,28,8
2025-11-03,price-comparison,switcher,347,61,35
2025-11-03,social,juggler,1821,83,14
2025-11-10,brand-search,all,1368,115,36
2025-11-10,podcast-sponsorship,juggler,685,27,9
2025-11-10,price-comparison,switcher,347,65,36
2025-11-10,social,juggler,1776,86,15
2025-11-17,brand-search,all,1407,115,33
2025-11-17,podcast-sponsorship,juggler,687,26,8
2025-11-17,price-comparison,switcher,341,59,34
2025-11-17,social,juggler,1936,87,16
2025-11-24,brand-search,all,1390,122,35
2025-11-24,podcast-sponsorship,juggler,715,25,8
2025-11-24,price-comparison,switcher,351,61,34
2025-11-24,social,juggler,1840,90,16
2025-12-01,brand-search,all,1364,113,34
2025-12-01,podcast-sponsorship,juggler,680,28,9
2025-12-01,price-comparison,switcher,354,60,36
2025-12-01,social,juggler,1926,91,15
2025-12-08,brand-search,all,1388,122,36
2025-12-08,podcast-sponsorship,juggler,724,26,8
2025-12-08,price-comparison,switcher,358,59,33
2025-12-08,social,juggler,1903,86,14
2025-12-15,brand-search,all,1410,122,37
2025-12-15,podcast-sponsorship,juggler,719,27,9
2025-12-15,price-comparison,switcher,356,64,37
2025-12-15,social,juggler,1859,90,15
2025-12-22,brand-search,all,1350,112,32
2025-12-22,podcast-sponsorship,juggler,714,27,8
2025-12-22,price-comparison,switcher,359,60,36
2025-12-22,social,juggler,1866,88,15
2025-12-29,brand-search,all,1390,120,38
2025-12-29,podcast-sponsorship,juggler,680,26,9
2025-12-29,price-comparison,switcher,353,61,36
