customer_id,segment,years_with_kite,policies_held,auto_renew,switches_last_3_years,comparison_quotes_last_renewal,days_letter_to_action,support_contacts_per_year,claims_last_5_years,premium_annual_eur,contents_sum_insured_eur,age_band,region,home_type,works_from_home
K-10000,Switcher,1,1,no,3,3,3,0,0,404,31000,65+,Ulster,semi-detached,no
K-10001,Payer,3,1,yes,0,0,12,0,0,526,49000,55-64,Dublin,detached,no
K-10002,Payer,2,1,yes,0,0,16,0,2,472,33000,45-54,Dublin,semi-detached,yes
K-10003,Switcher,1,1,no,3,4,5,2,0,386,35000,65+,Rest of Leinster,terrace,no
K-10004,Juggler,3,4,yes,0,2,9,1,0,1484,35500,45-54,Dublin,terrace,no
K-10005,Payer,4,1,yes,0,0,26,0,0,671,54000,65+,Rest of Leinster,detached,no
K-10006,Payer,4,2,yes,0,0,23,1,0,397,23500,55-64,Dublin,apartment,no
K-10007,Payer,1,1,yes,0,0,17,0,1,456,36500,25-34,Dublin,bungalow,no
K-10008,Switcher,1,1,no,2,4,1,0,0,264,25500,65+,Dublin,apartment,no
K-10009,Payer,4,1,yes,0,0,27,1,0,405,26500,25-34,Rest of Leinster,terrace,yes
K-10010,Juggler,3,3,no,1,2,7,1,0,1338,45000,35-44,Connacht,detached,yes
K-10011,Juggler,3,4,no,2,1,8,4,0,1457,34500,35-44,Munster,semi-detached,yes
K-10012,Switcher,4,1,no,1,3,4,0,1,336,32000,25-34,Connacht,terrace,yes
K-10013,Payer,3,1,yes,0,0,11,0,0,349,27500,45-54,Dublin,apartment,no
K-10014,Switcher,1,2,yes,2,3,3,1,0,370,36500,35-44,Dublin,terrace,yes
K-10015,Juggler,1,2,no,0,1,6,2,0,992,41500,25-34,Rest of Leinster,detached,yes
K-10016,Juggler,1,2,no,2,2,2,3,0,537,23000,55-64,Munster,apartment,no
K-10017,Switcher,2,1,no,3,3,3,0,0,416,40500,35-44,Rest of Leinster,semi-detached,no
K-10018,Juggler,1,2,no,0,2,7,2,0,632,31000,35-44,Dublin,terrace,no
K-10019,Switcher,1,1,no,3,2,5,1,0,395,29500,45-54,Munster,terrace,yes
K-10020,Switcher,1,1,yes,3,5,3,2,0,400,36500,45-54,Rest of Leinster,semi-detached,no
K-10021,Payer,2,1,yes,0,0,18,0,0,371,33000,55-64,Dublin,terrace,no
