engine,category,domain_kind,is_ie,read
Perplexity,AI,Forum,no,2026-08-01
Perplexity,Training,Brand,no,2026-09-07
Claude,AI,Other,yes,2026-08-12
Google AI,AI,Forum,no,2026-07-31
ChatGPT,Marketing,Other,yes,2026-08-17
Copilot,Marketing,Forum,yes,2026-08-09
Claude,Marketing,State,yes,2026-09-14
Copilot,AI,Other,yes,2026-08-26
Perplexity,Marketing,Forum,no,2026-07-22
Google AI,AI,Brand,yes,2026-07-07
ChatGPT,AI,Brand,yes,2026-07-07
Perplexity,AI,Forum,no,2026-05-25
Perplexity,Marketing,Other,yes,2026-06-10
Perplexity,AI,Other,no,2026-08-20
Google AI,AI,Other,no,2026-07-14
Copilot,AI,Other,no,2026-08-08
Claude,AI,Forum,yes,2026-05-31
Copilot,Marketing,Other,no,2026-08-30
ChatGPT,AI,Other,no,2026-08-02
Perplexity,AI,Forum,yes,2026-07-17
Perplexity,AI,Other,yes,2026-07-17
Claude,Marketing,Forum,no,2026-08-15
Perplexity,AI,State,yes,2026-07-08
Copilot,AI,Forum,no,2026-06-23
Claude,Marketing,Forum,no,2026-07-21
Google AI,AI,State,no,2026-08-20
Copilot,Marketing,Brand,yes,2026-05-30
Perplexity,Training,Forum,no,2026-06-03
Perplexity,AI,Forum,no,2026-08-18
Claude,Marketing,Other,no,2026-06-27
ChatGPT,AI,Other,yes,2026-07-03
Perplexity,AI,Forum,yes,2026-07-19
Claude,Marketing,Other,yes,2026-08-10
Claude,Marketing,Brand,no,2026-07-13
ChatGPT,AI,Forum,yes,2026-07-24
Google AI,Marketing,Forum,yes,2026-08-07
Claude,Marketing,Other,yes,2026-05-22
Claude,AI,Other,no,2026-07-21
Perplexity,Marketing,Forum,no,2026-06-03
Perplexity,AI,State,yes,2026-08-04
Perplexity,Training,Forum,no,2026-09-02
Google AI,Marketing,Brand,yes,2026-09-10
Copilot,AI,Forum,no,2026-08-22
Copilot,AI,Other,no,2026-07-09
Claude,Marketing,Forum,no,2026-07-08
Perplexity,AI,Forum,yes,2026-08-26
Google AI,Training,Other,yes,2026-08-31
Perplexity,AI,Other,yes,2026-06-12
Perplexity,AI,Other,yes,2026-08-12
Perplexity,Marketing,Other,yes,2026-06-19
Claude,AI,Forum,no,2026-08-22
ChatGPT,AI,Forum,no,2026-05-27
Perplexity,Marketing,Other,no,2026-08-03
Claude,Marketing,Forum,no,2026-08-29
Perplexity,Training,State,yes,2026-06-20
Google AI,Training,Other,yes,2026-07-06
Perplexity,Marketing,Other,no,2026-08-04
Copilot,Marketing,Forum,no,2026-08-06
Claude,Marketing,Forum,no,2026-08-31
Copilot,AI,Brand,no,2026-09-05
Claude,Marketing,Other,no,2026-07-26
Copilot,AI,Other,yes,2026-06-12
Google AI,AI,Other,no,2026-07-06
Claude,Marketing,Brand,no,2026-09-04
Copilot,AI,Forum,yes,2026-08-05
Google AI,AI,Forum,no,2026-07-06
Perplexity,AI,Other,no,2026-05-19
Claude,Marketing,Other,yes,2026-06-20
Perplexity,AI,State,yes,2026-09-09
Copilot,AI,Forum,no,2026-08-28
Google AI,AI,Forum,no,2026-07-27
Perplexity,AI,Other,no,2026-08-03
Perplexity,AI,Forum,yes,2026-08-29
Claude,AI,Forum,no,2026-07-08
Copilot,AI,Other,yes,2026-06-15
Perplexity,AI,Brand,yes,2026-07-05
Perplexity,AI,Brand,yes,2026-08-22
Google AI,Marketing,Brand,yes,2026-06-07
Claude,AI,Other,no,2026-05-29
Copilot,Marketing,Other,no,2026-08-17
ChatGPT,AI,Other,no,2026-05-20
Copilot,Training,Other,no,2026-08-07
Perplexity,AI,Other,no,2026-07-25
Claude,Marketing,Forum,yes,2026-06-25
Claude,Training,Forum,no,2026-08-24
Google AI,AI,Brand,yes,2026-09-07
Perplexity,Training,Other,no,2026-06-04
Copilot,AI,Forum,no,2026-06-02
Google AI,Marketing,Other,no,2026-06-10
Copilot,Training,Forum,yes,2026-05-18
Claude,Marketing,Other,yes,2026-06-04
Copilot,AI,State,no,2026-05-24
Google AI,AI,Other,no,2026-08-14
Copilot,Training,Other,no,2026-08-05
Copilot,Marketing,State,no,2026-08-20
Claude,Training,Forum,no,2026-07-01
Copilot,AI,Other,yes,2026-07-05
Claude,Training,Other,no,2026-09-05
Perplexity,AI,Other,no,2026-08-02
Copilot,AI,Forum,no,2026-08-25
Perplexity,Training,Brand,no,2026-06-20
Copilot,AI,Other,yes,2026-05-31
Perplexity,AI,Forum,yes,2026-07-22
Claude,Marketing,State,no,2026-06-10
Copilot,AI,Other,no,2026-08-28
Claude,Marketing,Other,yes,2026-06-07
Copilot,AI,Other,yes,2026-08-19
Copilot,Training,Brand,yes,2026-06-25
Copilot,Marketing,Other,yes,2026-08-15
Copilot,AI,Forum,no,2026-06-02
Google AI,AI,Other,yes,2026-09-08
Copilot,AI,Other,no,2026-08-15
Perplexity,AI,Other,no,2026-08-12
Google AI,Marketing,Forum,no,2026-06-24
Google AI,AI,Other,yes,2026-08-30
Claude,Marketing,Brand,no,2026-08-21
Claude,Marketing,Other,no,2026-06-06
Claude,Training,Forum,no,2026-09-06
Google AI,AI,Other,yes,2026-07-13
Google AI,Marketing,Forum,yes,2026-07-10
Perplexity,AI,Forum,yes,2026-07-09
Claude,Training,Forum,no,2026-07-30
Perplexity,Marketing,Other,yes,2026-09-08
Copilot,Marketing,State,no,2026-06-13
Claude,AI,Other,yes,2026-06-08
Copilot,Training,Other,no,2026-07-04
Claude,AI,State,no,2026-08-08
Copilot,AI,Other,no,2026-07-14
Copilot,AI,Forum,no,2026-06-24
Perplexity,Marketing,Other,yes,2026-07-16
Claude,AI,Forum,yes,2026-05-19
Google AI,Training,Forum,no,2026-06-21
Copilot,AI,Forum,no,2026-05-31
Copilot,Marketing,Other,yes,2026-06-19
Claude,Marketing,Forum,no,2026-08-23
Claude,AI,State,yes,2026-07-02
Copilot,AI,State,no,2026-07-06
Perplexity,Training,State,yes,2026-06-22
Perplexity,Marketing,Forum,yes,2026-09-09
ChatGPT,AI,Forum,yes,2026-06-01
ChatGPT,Training,Other,no,2026-08-15
ChatGPT,AI,Other,yes,2026-05-24
Perplexity,AI,Brand,no,2026-07-01
ChatGPT,AI,Forum,no,2026-09-07
Copilot,AI,Other,yes,2026-06-17
Claude,AI,Other,no,2026-09-05
Claude,Marketing,Other,yes,2026-07-31
ChatGPT,AI,Forum,yes,2026-08-04
Copilot,Training,Forum,yes,2026-06-06
Google AI,Marketing,Brand,no,2026-07-03
Claude,Training,Forum,no,2026-07-14
Claude,Marketing,State,yes,2026-08-28
Claude,Marketing,Forum,no,2026-09-14
Google AI,AI,Other,no,2026-06-27
Perplexity,AI,Forum,no,2026-07-20
Google AI,Training,Forum,yes,2026-06-25
Claude,AI,Forum,yes,2026-05-25
Perplexity,Marketing,Other,yes,2026-07-16
Copilot,Marketing,Other,yes,2026-05-29
Google AI,AI,Forum,no,2026-06-19
ChatGPT,AI,State,yes,2026-08-10
Copilot,AI,Forum,no,2026-07-08
ChatGPT,AI,Forum,yes,2026-08-28
ChatGPT,Marketing,Forum,yes,2026-06-07
Claude,Marketing,Forum,yes,2026-07-16
