query,sector,has_aio,sources,ie_sources,read
mortgage advice mayo,Tax and accounting,no,9,3,2026-08-13
wedding venue in donegal,Media and publishing,no,5,2,2026-07-31
solicitor in donegal,Education,no,6,6,2026-08-01
wedding venue in sligo,Motor,yes,6,5,2026-09-04
gym near waterford,Tourism and hospitality,no,5,2,2026-08-09
wedding venue in waterford,Professional services,no,8,1,2026-08-15
best hotel in kildare,Motor,no,4,4,2026-08-10
dentist in cork,Tourism and hospitality,no,5,2,2026-09-20
wedding venue in sligo,Tourism and hospitality,yes,8,3,2026-07-30
wedding venue in donegal,Motor,no,5,2,2026-09-02
solicitor in donegal,Tourism and hospitality,no,6,5,2026-09-10
wedding venue in sligo,Professional services,yes,7,6,2026-08-18
wedding venue in sligo,Motor,no,4,2,2026-09-04
wedding venue in donegal,Tourism and hospitality,no,8,2,2026-05-31
wedding venue in sligo,Tourism and hospitality,no,5,4,2026-06-08
wedding venue in waterford,Tourism and hospitality,yes,4,3,2026-07-08
dentist in cork,Motor,no,10,4,2026-08-09
best hotel in kildare,Education,no,6,3,2026-07-01
wedding venue in sligo,Motor,yes,6,6,2026-08-11
mortgage advice mayo,Education,yes,7,5,2026-05-27
mortgage advice mayo,Media and publishing,yes,4,3,2026-07-08
dentist in cork,Motor,yes,8,2,2026-08-29
dentist in cork,Tourism and hospitality,no,4,4,2026-06-26
wedding venue in waterford,Motor,yes,6,2,2026-07-11
best hotel in kildare,Tourism and hospitality,yes,8,4,2026-09-12
wedding venue in waterford,Professional services,yes,6,3,2026-07-31
mortgage advice mayo,Tourism and hospitality,yes,5,5,2026-05-24
mortgage advice mayo,Tourism and hospitality,no,6,4,2026-09-20
best hotel in kildare,Media and publishing,no,6,3,2026-06-05
gym near waterford,Tourism and hospitality,no,9,1,2026-08-21
dentist in cork,Motor,yes,4,5,2026-06-05
dentist in cork,Education,no,5,1,2026-08-27
wedding venue in sligo,Education,yes,8,3,2026-05-24
mortgage advice mayo,Tourism and hospitality,no,5,2,2026-08-30
wedding venue in waterford,Media and publishing,yes,6,6,2026-08-10
wedding venue in donegal,Professional services,no,5,6,2026-06-13
solicitor in donegal,Motor,no,4,1,2026-06-25
mortgage advice mayo,Motor,no,9,2,2026-06-18
best hotel in kildare,Motor,yes,3,4,2026-09-09
wedding venue in waterford,Tourism and hospitality,yes,5,1,2026-09-09
wedding venue in sligo,Motor,no,9,2,2026-09-14
dentist in cork,Motor,yes,4,1,2026-06-22
best hotel in kildare,Tourism and hospitality,yes,5,7,2026-06-08
solicitor in donegal,Media and publishing,no,6,5,2026-06-27
dentist in cork,Motor,yes,4,2,2026-07-27
wedding venue in sligo,Media and publishing,yes,8,1,2026-07-11
gym near waterford,Motor,yes,3,4,2026-07-30
solicitor in donegal,Tourism and hospitality,no,6,2,2026-06-24
wedding venue in waterford,Media and publishing,no,10,2,2026-08-10
best hotel in kildare,Motor,yes,5,1,2026-09-04
wedding venue in donegal,Motor,no,6,6,2026-09-10
gym near waterford,Media and publishing,no,5,6,2026-07-21
gym near waterford,Tourism and hospitality,no,6,3,2026-07-27
wedding venue in donegal,Motor,no,8,0,2026-07-27
gym near waterford,Motor,no,4,4,2026-09-05
gym near waterford,Tax and accounting,yes,5,1,2026-08-13
wedding venue in waterford,Motor,yes,9,3,2026-09-16
mortgage advice mayo,Tax and accounting,yes,6,3,2026-09-03
wedding venue in sligo,Tourism and hospitality,no,5,6,2026-07-28
mortgage advice mayo,Motor,yes,5,5,2026-06-20
best hotel in kildare,Professional services,yes,5,1,2026-06-25
gym near waterford,Tax and accounting,yes,9,1,2026-09-17
wedding venue in donegal,Tourism and hospitality,yes,5,5,2026-09-13
best hotel in kildare,Tax and accounting,no,6,3,2026-09-06
dentist in cork,Tourism and hospitality,no,9,4,2026-07-29
wedding venue in sligo,Motor,yes,6,3,2026-06-04
best hotel in kildare,Professional services,no,6,7,2026-08-03
wedding venue in donegal,Tourism and hospitality,yes,5,4,2026-09-19
wedding venue in donegal,Motor,yes,6,1,2026-09-13
best hotel in kildare,Tourism and hospitality,yes,8,1,2026-06-12
mortgage advice mayo,Tourism and hospitality,yes,4,5,2026-06-19
gym near waterford,Professional services,no,4,1,2026-06-10
gym near waterford,Education,yes,10,3,2026-08-18
gym near waterford,Tax and accounting,yes,6,3,2026-08-27
wedding venue in donegal,Professional services,yes,5,7,2026-07-13
gym near waterford,Professional services,no,7,5,2026-07-28
wedding venue in sligo,Motor,yes,5,3,2026-05-24
wedding venue in waterford,Education,yes,7,2,2026-07-11
dentist in cork,Motor,yes,3,3,2026-05-28
wedding venue in donegal,Education,no,5,3,2026-08-08
gym near waterford,Media and publishing,yes,9,2,2026-09-20
dentist in cork,Media and publishing,yes,4,1,2026-08-01
dentist in cork,Tourism and hospitality,no,6,7,2026-07-05
wedding venue in waterford,Media and publishing,yes,7,4,2026-09-02
wedding venue in donegal,Tourism and hospitality,yes,4,1,2026-06-06
wedding venue in waterford,Tax and accounting,yes,7,2,2026-07-21
mortgage advice mayo,Tourism and hospitality,no,5,5,2026-08-15
solicitor in donegal,Media and publishing,no,5,3,2026-06-09
dentist in cork,Media and publishing,no,9,2,2026-08-07
gym near waterford,Motor,yes,5,2,2026-06-04
mortgage advice mayo,Tourism and hospitality,no,6,6,2026-06-04
wedding venue in waterford,Education,no,7,6,2026-06-09
wedding venue in waterford,Tourism and hospitality,yes,4,1,2026-08-28
mortgage advice mayo,Motor,yes,8,1,2026-07-23
wedding venue in donegal,Media and publishing,no,5,3,2026-08-11
mortgage advice mayo,Tourism and hospitality,yes,6,1,2026-07-18
mortgage advice mayo,Professional services,no,10,4,2026-06-27
solicitor in donegal,Education,no,4,3,2026-09-02
gym near waterford,Tourism and hospitality,no,7,5,2026-07-13
wedding venue in sligo,Tax and accounting,no,5,6,2026-06-22
wedding venue in donegal,Motor,yes,4,3,2026-07-29
dentist in cork,Tax and accounting,yes,7,2,2026-08-09
solicitor in donegal,Professional services,no,5,5,2026-09-17
wedding venue in sligo,Motor,no,4,3,2026-09-05
wedding venue in sligo,Media and publishing,no,10,2,2026-07-19
gym near waterford,Professional services,no,6,1,2026-06-30
best hotel in kildare,Tourism and hospitality,yes,7,5,2026-07-18
best hotel in kildare,Tourism and hospitality,no,7,6,2026-06-02
gym near waterford,Tourism and hospitality,no,4,1,2026-09-06
wedding venue in sligo,Education,yes,8,1,2026-07-05
wedding venue in donegal,Motor,no,3,4,2026-08-24
wedding venue in sligo,Tax and accounting,no,6,3,2026-07-26
gym near waterford,Professional services,no,8,4,2026-08-10
best hotel in kildare,Tourism and hospitality,no,5,1,2026-06-04
solicitor in donegal,Tax and accounting,yes,5,5,2026-08-12
wedding venue in sligo,Motor,no,7,6,2026-07-27
dentist in cork,Tourism and hospitality,yes,5,2,2026-08-12
gym near waterford,Motor,no,7,2,2026-08-26
mortgage advice mayo,Motor,yes,4,5,2026-08-11
dentist in cork,Motor,yes,5,2,2026-07-16
wedding venue in sligo,Tourism and hospitality,no,8,2,2026-06-20
wedding venue in donegal,Tourism and hospitality,yes,5,2,2026-05-29
wedding venue in sligo,Tourism and hospitality,yes,5,5,2026-07-07
gym near waterford,Tax and accounting,yes,7,4,2026-07-19
wedding venue in waterford,Media and publishing,yes,5,3,2026-06-04
solicitor in donegal,Tourism and hospitality,yes,8,0,2026-08-13
solicitor in donegal,Media and publishing,no,3,3,2026-06-14
wedding venue in donegal,Motor,no,4,1,2026-05-25
wedding venue in donegal,Professional services,no,9,4,2026-07-16
wedding venue in sligo,Tax and accounting,no,4,1,2026-09-04
wedding venue in donegal,Motor,yes,6,7,2026-08-20
wedding venue in donegal,Motor,yes,6,4,2026-06-10
dentist in cork,Tourism and hospitality,yes,4,3,2026-08-14
wedding venue in sligo,Tourism and hospitality,yes,7,1,2026-08-29
wedding venue in donegal,Tourism and hospitality,no,3,5,2026-06-12
solicitor in donegal,Tourism and hospitality,no,4,2,2026-09-08
wedding venue in waterford,Tax and accounting,yes,8,2,2026-07-08
solicitor in donegal,Media and publishing,no,5,2,2026-07-28
wedding venue in sligo,Tourism and hospitality,yes,6,5,2026-06-15
wedding venue in waterford,Tax and accounting,yes,7,4,2026-06-08
wedding venue in sligo,Tourism and hospitality,no,6,1,2026-08-27
mortgage advice mayo,Tourism and hospitality,no,8,2,2026-09-01
wedding venue in sligo,Tourism and hospitality,no,3,4,2026-05-25
wedding venue in waterford,Motor,no,5,2,2026-07-13
dentist in cork,Education,no,9,2,2026-09-13
mortgage advice mayo,Motor,no,6,3,2026-07-31
mortgage advice mayo,Tourism and hospitality,yes,7,6,2026-06-03
dentist in cork,Media and publishing,yes,7,4,2026-06-10
best hotel in kildare,Professional services,yes,5,1,2026-08-26
wedding venue in sligo,Tourism and hospitality,no,9,2,2026-08-03
wedding venue in waterford,Tax and accounting,yes,3,4,2026-06-08
mortgage advice mayo,Motor,no,4,1,2026-07-01
gym near waterford,Professional services,yes,9,2,2026-08-15
mortgage advice mayo,Tourism and hospitality,no,6,1,2026-07-16
mortgage advice mayo,Media and publishing,yes,7,5,2026-06-17
dentist in cork,Education,yes,7,5,2026-07-09
solicitor in donegal,Motor,yes,4,2,2026-07-27
dentist in cork,Tourism and hospitality,yes,8,0,2026-06-18
dentist in cork,Education,yes,3,4,2026-08-22
best hotel in kildare,Education,yes,4,3,2026-08-10
wedding venue in donegal,Education,yes,8,3,2026-07-05
