tool_kind,plan,price,month
Meetings,Team,269,2026-07-31
Chat assistant,Team,192,2026-08-13
Images,Team,255,2026-09-14
Chat assistant,Business,194,2026-08-25
Writing,Pro,37,2026-08-15
Meetings,Team,226,2026-08-01
Images,Team,69,2026-09-07
Images,Team,237,2026-09-01
Images,Team,259,2026-05-23
Images,Team,137,2026-08-25
Meetings,Business,202,2026-06-29
Meetings,Pro,203,2026-06-16
Images,Pro,107,2026-08-26
Images,Team,236,2026-06-05
Images,Team,73,2026-08-25
Images,Team,274,2026-08-14
Images,Team,233,2026-08-20
Chat assistant,Team,253,2026-09-09
Chat assistant,Team,277,2026-09-06
Chat assistant,Team,193,2026-06-17
Images,Pro,-10,2026-07-30
Images,Team,266,2026-07-03
Meetings,Team,27,2026-05-28
Chat assistant,Pro,244,2026-07-10
Writing,Team,277,2026-05-21
Writing,Team,229,2026-06-05
Writing,Team,237,2026-07-11
Chat assistant,Team,167,2026-09-09
Chat assistant,Team,71,2026-08-06
Images,Team,174,2026-07-10
Chat assistant,Team,77,2026-07-09
Chat assistant,Team,239,2026-05-28
Images,Team,234,2026-06-08
Meetings,Team,170,2026-06-21
Meetings,Team,205,2026-06-21
Writing,Team,241,2026-08-11
Chat assistant,Team,-20,2026-08-12
Images,Team,182,2026-09-02
Writing,Team,46,2026-09-01
Images,Team,299,2026-07-14
Chat assistant,Business,231,2026-08-13
Chat assistant,Team,224,2026-09-14
Writing,Team,273,2026-07-14
Images,Team,250,2026-09-02
Images,Business,40,2026-05-31
Chat assistant,Pro,182,2026-08-11
Meetings,Business,39,2026-05-20
Writing,Team,256,2026-07-01
Chat assistant,Team,311,2026-08-25
Writing,Team,161,2026-06-02
Writing,Pro,237,2026-09-14
Chat assistant,Team,249,2026-08-25
Chat assistant,Team,70,2026-07-19
Meetings,Team,212,2026-09-06
Writing,Team,99,2026-07-06
Images,Team,291,2026-07-10
Writing,Team,311,2026-08-19
Writing,Pro,189,2026-08-19
Images,Team,258,2026-06-16
Meetings,Business,125,2026-08-24
Meetings,Team,29,2026-08-16
Images,Team,211,2026-08-06
Chat assistant,Team,109,2026-09-13
Images,Team,208,2026-07-06
Images,Team,205,2026-08-26
Meetings,Team,202,2026-07-18
Meetings,Team,203,2026-07-14
Images,Pro,185,2026-07-11
Images,Business,39,2026-08-10
Writing,Business,260,2026-05-24
Images,Pro,72,2026-06-24
Images,Pro,226,2026-07-09
Writing,Team,227,2026-06-06
Images,Team,168,2026-05-24
Chat assistant,Team,301,2026-05-25
Images,Team,175,2026-05-29
Chat assistant,Business,43,2026-08-06
Meetings,Pro,285,2026-07-01
Writing,Team,60,2026-05-26
Meetings,Team,306,2026-06-18
Meetings,Team,222,2026-08-10
Writing,Pro,238,2026-08-12
Meetings,Team,229,2026-09-08
Images,Team,128,2026-08-25
Chat assistant,Team,94,2026-07-30
Writing,Team,261,2026-07-03
Images,Team,138,2026-08-06
Meetings,Team,268,2026-08-03
Images,Pro,287,2026-08-31
Images,Pro,240,2026-07-21
Images,Team,268,2026-08-08
Meetings,Pro,195,2026-08-04
Images,Pro,-17,2026-09-09
Chat assistant,Team,253,2026-08-08
Chat assistant,Business,136,2026-07-27
Meetings,Team,293,2026-07-08
Meetings,Team,280,2026-09-14
Chat assistant,Team,182,2026-09-10
Images,Team,201,2026-08-02
Images,Pro,249,2026-08-24
Writing,Pro,-22,2026-07-27
Chat assistant,Business,266,2026-08-09
Images,Team,104,2026-06-17
Meetings,Team,219,2026-08-18
Chat assistant,Team,244,2026-07-07
Chat assistant,Pro,131,2026-07-05
Images,Team,212,2026-07-03
Meetings,Team,247,2026-08-31
Meetings,Team,-22,2026-08-05
Images,Pro,159,2026-09-09
Images,Team,56,2026-09-09
Chat assistant,Team,181,2026-06-26
Chat assistant,Team,206,2026-06-14
Images,Team,230,2026-06-26
Images,Team,230,2026-06-20
Writing,Team,252,2026-08-04
Images,Team,79,2026-05-31
Images,Team,208,2026-09-01
Meetings,Team,131,2026-08-07
Writing,Business,215,2026-07-28
Images,Team,304,2026-06-08
Meetings,Team,200,2026-08-21
Writing,Pro,310,2026-06-14
Images,Business,263,2026-06-08
Images,Team,49,2026-06-11
Images,Team,208,2026-09-06
Chat assistant,Pro,16,2026-05-22
Chat assistant,Team,226,2026-06-14
Meetings,Pro,203,2026-07-25
Images,Team,142,2026-08-15
Chat assistant,Pro,315,2026-07-15
Meetings,Team,189,2026-07-31
Images,Team,-18,2026-06-13
Chat assistant,Team,225,2026-05-18
Images,Team,27,2026-07-16
Writing,Team,256,2026-08-09
Meetings,Team,277,2026-08-13
Meetings,Team,139,2026-05-23
Writing,Team,260,2026-06-12
Chat assistant,Team,133,2026-06-19
Meetings,Team,101,2026-08-24
Writing,Team,239,2026-09-03
Images,Business,95,2026-08-01
Images,Team,297,2026-05-18
Meetings,Team,285,2026-05-26
Meetings,Team,186,2026-06-05
Meetings,Team,260,2026-05-20
Images,Team,185,2026-07-02
Meetings,Business,9,2026-07-02
Images,Team,191,2026-08-17
Writing,Team,127,2026-08-31
Chat assistant,Team,270,2026-06-10
Images,Team,240,2026-06-25
Chat assistant,Team,194,2026-05-29
Chat assistant,Team,300,2026-06-13
Chat assistant,Team,217,2026-07-26
Meetings,Team,97,2026-08-29
Chat assistant,Pro,176,2026-05-25
Writing,Business,71,2026-06-17
Meetings,Team,228,2026-05-23
Chat assistant,Team,212,2026-05-24
Chat assistant,Pro,169,2026-08-11
Chat assistant,Team,277,2026-09-02
Meetings,Team,142,2026-09-02
Writing,Pro,12,2026-08-15
Writing,Business,164,2026-09-12
Chat assistant,Team,100,2026-06-07
Meetings,Business,265,2026-07-15
Meetings,Team,276,2026-05-19
Images,Team,175,2026-07-27
Chat assistant,Team,215,2026-09-04
Writing,Team,249,2026-06-12
Chat assistant,Team,29,2026-06-12
Chat assistant,Team,274,2026-08-21
