week,sector,cpc,searches
2026-08-20,Tourism and hospitality,2.92,22
2026-09-20,Tourism and hospitality,1.5,19
2026-08-06,Motor,1.05,12
2026-07-26,Professional services,2.45,16
2026-08-09,Public sector,1.27,8
2026-09-18,Professional services,2.31,29
2026-08-11,Public sector,1.59,15
2026-08-16,Media and publishing,3.73,30
2026-06-09,Public sector,3,16
2026-07-25,Media and publishing,1,24
2026-06-13,Tourism and hospitality,1,17
2026-07-24,Tourism and hospitality,3,12
2026-09-02,Tourism and hospitality,1,11
2026-06-11,Public sector,2,30
2026-07-19,Media and publishing,2,16
2026-07-12,Public sector,4,32
2026-06-03,Tourism and hospitality,4,27
2026-06-04,Tourism and hospitality,2,19
2026-07-31,Public sector,2,18
2026-07-02,Tourism and hospitality,3,22
2026-07-12,Motor,1,7
2026-05-30,Public sector,2,29
2026-07-13,Public sector,1,16
2026-06-28,Motor,4,31
2026-08-03,Tourism and hospitality,3,27
2026-07-14,Media and publishing,2,23
2026-07-06,Public sector,1,6
2026-07-05,Motor,2,18
2026-09-13,Public sector,2,9
2026-06-29,Media and publishing,2,33
2026-07-19,Public sector,2,14
2026-08-10,Motor,4,35
2026-09-06,Tourism and hospitality,2,18
2026-07-05,Tourism and hospitality,1,15
2026-07-11,Public sector,1,7
2026-06-18,Professional services,2,11
2026-09-04,Public sector,2,11
2026-07-22,Media and publishing,2,31
2026-08-02,Public sector,2,13
2026-07-19,Public sector,4,36
2026-07-23,Motor,3,19
2026-08-02,Tourism and hospitality,1,18
2026-06-22,Media and publishing,1,15
2026-07-26,Tourism and hospitality,2,12
2026-08-28,Professional services,1,14
2026-08-15,Public sector,2,35
2026-07-21,Professional services,2,20
2026-09-07,Professional services,3,34
2026-08-11,Public sector,4,27
2026-08-14,Tourism and hospitality,2,23
2026-09-04,Tourism and hospitality,1,12
2026-05-24,Tourism and hospitality,2,12
2026-09-10,Motor,1,13
2026-07-24,Professional services,3,34
2026-09-04,Public sector,2,12
2026-09-14,Motor,3,30
2026-07-05,Public sector,3,23
2026-05-28,Professional services,1,22
2026-08-05,Public sector,1,17
2026-09-13,Public sector,3,15
2026-07-01,Professional services,2,9
2026-07-25,Professional services,3,24
2026-08-19,Tourism and hospitality,2,18
2026-07-22,Public sector,4,27
2026-07-07,Professional services,4,18
2026-09-09,Media and publishing,1,25
2026-08-21,Public sector,1,11
2026-07-23,Professional services,2,21
2026-06-19,Tourism and hospitality,1,14
2026-07-15,Professional services,3,31
2026-08-30,Tourism and hospitality,1,15
2026-06-03,Motor,4,34
2026-07-08,Professional services,2,22
2026-07-30,Public sector,2,19
2026-08-16,Public sector,2,10
2026-07-06,Media and publishing,2,14
2026-06-05,Motor,1,6
2026-07-06,Professional services,3,34
2026-07-22,Public sector,2,20
2026-05-31,Media and publishing,4,24
2026-07-08,Media and publishing,3,28
2026-08-20,Public sector,2,13
2026-06-04,Tourism and hospitality,2,13
2026-07-05,Public sector,3,10
2026-09-19,Tourism and hospitality,2,10
2026-06-10,Motor,2,35
2026-06-02,Motor,1,9
2026-06-20,Professional services,4,26
2026-07-17,Public sector,3,24
2026-06-25,Public sector,1,23
2026-09-07,Professional services,2,18
2026-08-27,Tourism and hospitality,3,20
2026-09-08,Motor,1,5
2026-07-01,Tourism and hospitality,3,34
2026-08-17,Media and publishing,1,13
2026-08-20,Public sector,4,26
2026-06-20,Professional services,3,25
2026-06-07,Tourism and hospitality,2,17
2026-08-04,Tourism and hospitality,2,11
2026-08-31,Tourism and hospitality,3,21
2026-06-18,Public sector,2,2
2026-07-18,Public sector,3,31
2026-05-29,Media and publishing,1,10
2026-07-21,Media and publishing,4,36
2026-06-10,Public sector,2,27
2026-06-03,Motor,1,23
2026-07-04,Motor,1,14
2026-07-14,Motor,3,12
2026-05-25,Professional services,1,14
2026-08-05,Professional services,3,22
2026-08-31,Public sector,1,21
2026-07-28,Tourism and hospitality,5,25
2026-06-26,Public sector,3,26
2026-08-27,Tourism and hospitality,2,20
2026-08-04,Tourism and hospitality,1,16
2026-08-22,Professional services,2,13
2026-06-18,Tourism and hospitality,1,2
2026-07-04,Public sector,3,35
2026-08-05,Motor,2,11
2026-09-03,Professional services,4,27
2026-06-21,Media and publishing,3,16
2026-06-16,Tourism and hospitality,2,19
2026-09-06,Professional services,2,8
2026-06-20,Media and publishing,2,21
2026-08-16,Tourism and hospitality,2,3
2026-08-29,Media and publishing,3,27
2026-05-31,Public sector,1,21
2026-07-27,Tourism and hospitality,3,34
2026-06-04,Professional services,3,21
2026-07-11,Public sector,2,20
2026-08-17,Public sector,1,16
2026-08-10,Public sector,2,13
2026-09-11,Professional services,1,13
2026-08-24,Media and publishing,3,36
2026-07-06,Public sector,2,17
2026-09-12,Tourism and hospitality,3,31
2026-09-15,Media and publishing,2,24
2026-08-08,Public sector,1,20
2026-09-19,Tourism and hospitality,1,7
2026-06-22,Motor,3,23
2026-06-26,Motor,1,2
2026-08-06,Tourism and hospitality,3,35
2026-09-04,Motor,2,10
2026-06-28,Tourism and hospitality,4,26
2026-08-08,Tourism and hospitality,3,28
2026-09-15,Tourism and hospitality,2,20
2026-09-08,Tourism and hospitality,1,13
2026-07-02,Motor,3,11
2026-08-12,Media and publishing,1,6
2026-06-26,Media and publishing,2,26
2026-06-11,Public sector,2,22
2026-08-16,Motor,4,36
2026-07-06,Media and publishing,3,17
2026-08-18,Professional services,2,22
2026-07-18,Tourism and hospitality,2,6
2026-08-12,Media and publishing,3,14
2026-06-23,Tourism and hospitality,1,5
2026-07-26,Professional services,2,24
2026-08-19,Motor,2,13
2026-06-17,Public sector,4,25
2026-07-02,Tourism and hospitality,3,23
2026-07-18,Tourism and hospitality,2,13
2026-07-29,Tourism and hospitality,1,14
2026-09-01,Tourism and hospitality,3,13
2026-07-21,Professional services,2,5
2026-07-24,Motor,3,30
2026-06-06,Professional services,1,14
2026-08-02,Motor,4,30
2026-08-03,Motor,3,19
2026-08-22,Public sector,2,15
2026-07-31,Public sector,1,8
2026-09-05,Motor,3,11
2026-09-10,Professional services,1,5
2026-06-05,Public sector,2,26
2026-08-16,Tourism and hospitality,2,10
2026-07-17,Media and publishing,4,29
2026-08-26,Professional services,3,20
2026-06-17,Tourism and hospitality,1,15
2026-06-10,Professional services,1,16
2026-07-17,Public sector,3,21
2026-07-20,Public sector,1,11
2026-05-29,Motor,2,33
2026-06-06,Media and publishing,1,9
2026-07-25,Professional services,4,36
2026-07-24,Motor,3,22
2026-06-19,Professional services,2,14
2026-06-16,Motor,1,13
2026-06-20,Media and publishing,3,16
2026-07-24,Tourism and hospitality,2,11
2026-06-15,Media and publishing,2,24
2026-09-10,Tourism and hospitality,2,13
2026-07-24,Professional services,3,26
2026-09-03,Media and publishing,2,21
2026-06-02,Professional services,1,18
2026-06-25,Public sector,1,12
2026-07-15,Public sector,3,19
2026-09-01,Tourism and hospitality,1,13
2026-05-29,Tourism and hospitality,3,31
2026-09-08,Public sector,2,18
2026-07-11,Professional services,3,24
2026-07-19,Professional services,3,16
2026-07-30,Tourism and hospitality,2,13
2026-07-21,Media and publishing,2,14
2026-06-14,Tourism and hospitality,3,16
2026-06-27,Tourism and hospitality,1,7
2026-07-20,Public sector,2,33
2026-07-08,Professional services,1,19
2026-07-29,Professional services,4,29
2026-05-25,Public sector,2,23
2026-06-04,Tourism and hospitality,2,15
2026-05-25,Public sector,1,15
2026-06-04,Tourism and hospitality,2,17
2026-09-05,Motor,1,6
2026-07-11,Public sector,2,28
2026-06-14,Tourism and hospitality,1,14
2026-09-17,Professional services,3,35
2026-09-01,Tourism and hospitality,3,16
2026-06-09,Professional services,1,17
2026-06-28,Public sector,1,14
2026-06-13,Professional services,2,16
2026-07-28,Tourism and hospitality,1,13
2026-09-18,Tourism and hospitality,2,34
2026-09-05,Tourism and hospitality,2,14
2026-06-22,Public sector,4,29
2026-08-31,Public sector,2,16
2026-09-12,Public sector,1,19
2026-06-23,Tourism and hospitality,2,7
2026-06-06,Media and publishing,3,21
2026-06-16,Motor,1,11
2026-08-29,Professional services,3,35
2026-05-24,Media and publishing,2,10
2026-07-11,Media and publishing,4,33
2026-06-18,Professional services,3,25
2026-06-13,Professional services,1,17
2026-06-02,Professional services,1,15
2026-08-02,Public sector,3,17
2026-06-04,Public sector,2,7
2026-08-19,Professional services,2,28
2026-07-17,Tourism and hospitality,1,16
2026-07-30,Professional services,3,33
2026-06-09,Public sector,2,27
2026-07-09,Public sector,1,23
2026-09-17,Motor,0,17
2026-07-04,Media and publishing,3,17
2026-06-20,Professional services,1,3
2026-06-29,Tourism and hospitality,3,34
2026-08-08,Professional services,1,11
2026-06-19,Media and publishing,4,26
2026-07-31,Tourism and hospitality,2,25
2026-07-01,Public sector,2,17
2026-06-05,Public sector,2,13
2026-06-18,Tourism and hospitality,2,14
2026-06-13,Professional services,1,3
2026-06-09,Media and publishing,2,24
2026-07-20,Motor,2,12
2026-07-06,Tourism and hospitality,3,26
2026-07-13,Tourism and hospitality,3,28
2026-07-24,Professional services,2,21
2026-08-22,Professional services,1,17
2026-06-07,Media and publishing,2,21
2026-07-14,Tourism and hospitality,2,6
2026-07-28,Professional services,2,33
2026-08-22,Professional services,1,21
2026-07-24,Motor,4,34
2026-07-06,Professional services,2,28
2026-07-09,Tourism and hospitality,2,25
2026-09-14,Tourism and hospitality,2,16
2026-08-16,Professional services,2,18
2026-08-17,Public sector,1,2
2026-07-04,Tourism and hospitality,2,33
2026-07-19,Tourism and hospitality,2,21
2026-09-15,Professional services,3,25
2026-07-12,Media and publishing,3,28
2026-06-26,Media and publishing,1,13
2026-07-03,Professional services,1,13
2026-09-04,Tourism and hospitality,2,13
2026-08-05,Professional services,1,13
2026-08-01,Media and publishing,2,27
2026-07-04,Tourism and hospitality,2,13
2026-06-23,Tourism and hospitality,4,35
2026-08-24,Tourism and hospitality,3,21
2026-06-25,Public sector,1,22
2026-08-11,Public sector,1,10
2026-07-13,Public sector,3,13
2026-07-05,Motor,1,14
2026-07-04,Tourism and hospitality,3,34
2026-07-29,Media and publishing,1,11
2026-08-16,Media and publishing,4,32
2026-07-14,Public sector,4,26
2026-07-30,Tourism and hospitality,2,25
2026-08-22,Motor,2,11
2026-05-29,Tourism and hospitality,2,22
2026-07-07,Media and publishing,1,4
2026-06-26,Professional services,3,27
2026-08-30,Tourism and hospitality,2,21
2026-08-09,Tourism and hospitality,4,26
2026-07-14,Public sector,2,17
2026-06-23,Public sector,1,24
2026-09-02,Motor,1,13
2026-08-26,Public sector,3,15
2026-06-21,Tourism and hospitality,1,3
2026-05-30,Media and publishing,3,26
2026-07-08,Tourism and hospitality,2,18
2026-06-15,Professional services,4,36
2026-07-21,Media and publishing,2,18
2026-09-19,Public sector,1,23
2026-07-30,Motor,1,6
2026-07-18,Public sector,3,22
2026-07-14,Public sector,1,10
2026-09-08,Tourism and hospitality,2,31
2026-06-28,Motor,1,19
2026-06-01,Media and publishing,4,36
2026-08-21,Public sector,2,26
2026-05-27,Public sector,1,22
2026-09-10,Professional services,1,9
2026-07-18,Public sector,3,12
2026-08-24,Public sector,2,6
2026-07-01,Media and publishing,3,35
2026-08-05,Professional services,2,11
2026-08-19,Motor,3,27
2026-07-31,Tourism and hospitality,3,27
2026-09-20,Tourism and hospitality,1,18
2026-08-10,Media and publishing,1,8
2026-08-16,Professional services,2,14
2026-06-22,Public sector,2,5
2026-07-08,Tourism and hospitality,3,28
2026-08-03,Professional services,1,17
2026-07-21,Media and publishing,3,26
2026-08-09,Media and publishing,3,23
