week,platform,audience,cpm
2026-09-20,Meta,Lookalike,8.41
2026-08-26,Meta,Broad,4.56
2026-07-29,Meta,Lookalike,14.56
2026-09-19,Google,Lookalike,6.73
2026-09-12,Meta,B2B,38.94
2026-08-16,Meta,Lookalike,14.58
2026-09-01,Google,Broad,32.15
2026-07-26,Google,Broad,10.65
2026-06-26,Meta,Lookalike,18
2026-06-16,Google,Lookalike,1
2026-09-19,Google,Lookalike,9
2026-06-01,Google,Lookalike,5
2026-08-13,Google,Lookalike,31
2026-08-23,Meta,Lookalike,11
2026-08-07,Meta,Broad,34
2026-08-18,Meta,Broad,10
2026-08-14,Google,Lookalike,7
2026-07-28,Google,Broad,7
2026-09-13,Meta,Broad,22
2026-06-26,Google,B2B,10
2026-06-09,Meta,Broad,34
2026-07-05,Google,B2B,23
2026-08-14,Google,Lookalike,35
2026-09-09,Meta,Lookalike,16
2026-07-18,Meta,Lookalike,15
2026-07-06,Meta,Lookalike,15
2026-09-14,Meta,Lookalike,18
2026-07-15,Meta,Broad,0
2026-05-26,Meta,Broad,48
2026-07-27,Google,Broad,10
2026-09-20,Meta,Broad,28
2026-07-22,Google,Lookalike,16
2026-06-24,Meta,Broad,16
2026-08-27,Google,Lookalike,9
2026-06-30,Meta,Lookalike,21
2026-07-05,Meta,Lookalike,7
2026-08-25,Meta,Broad,34
2026-05-29,Google,Lookalike,21
2026-06-18,Meta,Broad,27
2026-06-03,Meta,Broad,3
2026-07-21,Meta,B2B,13
2026-07-25,Google,Lookalike,-2
2026-07-21,Google,Broad,10
2026-06-30,Meta,Lookalike,16
2026-06-27,Meta,Lookalike,29
2026-07-16,Google,Lookalike,11
2026-06-02,Meta,Lookalike,41
2026-08-20,Meta,Lookalike,2
2026-07-10,Meta,Lookalike,7
2026-08-22,Google,Broad,8
2026-05-27,Meta,B2B,9
2026-08-14,Meta,Broad,17
2026-06-02,Meta,Lookalike,39
2026-09-19,Google,Lookalike,15
2026-08-16,Meta,Lookalike,39
2026-08-14,Google,Lookalike,10
2026-07-26,Google,Lookalike,0
2026-09-02,Google,Broad,0
2026-07-07,Meta,Lookalike,9
2026-07-13,Meta,B2B,6
2026-05-26,Meta,Lookalike,43
2026-07-09,Meta,Lookalike,7
2026-07-01,Meta,Lookalike,33
2026-06-26,Google,B2B,15
2026-08-26,Meta,Lookalike,10
2026-09-14,Meta,Lookalike,-2
2026-06-18,Google,B2B,20
2026-09-20,Meta,Lookalike,14
2026-08-03,Meta,B2B,46
2026-07-20,Google,Lookalike,23
2026-06-02,Google,Lookalike,27
2026-08-18,Meta,Lookalike,14
2026-07-07,Google,B2B,11
2026-05-25,Meta,Lookalike,-4
2026-06-27,Google,Lookalike,8
2026-08-27,Meta,Broad,-3
2026-07-04,Meta,Lookalike,43
2026-08-22,Meta,Lookalike,14
2026-08-17,Meta,Lookalike,29
2026-08-29,Meta,Lookalike,5
2026-07-11,Meta,Broad,0
2026-07-25,Meta,Broad,10
2026-09-15,Google,Lookalike,19
2026-07-06,Google,Broad,-2
2026-09-19,Meta,Lookalike,39
2026-06-12,Meta,Lookalike,19
2026-07-15,Meta,Broad,30
2026-07-28,Google,Broad,10
2026-07-15,Google,Broad,18
2026-06-12,Meta,Lookalike,13
2026-07-19,Google,Lookalike,16
2026-06-21,Google,Broad,11
2026-08-08,Google,Lookalike,35
2026-06-21,Meta,Lookalike,10
2026-09-17,Google,Lookalike,28
2026-06-26,Google,Broad,1
2026-08-14,Meta,B2B,12
2026-08-09,Meta,Broad,7
2026-09-05,Meta,Lookalike,23
2026-09-01,Google,Lookalike,4
2026-07-06,Meta,Lookalike,33
2026-07-01,Meta,B2B,19
2026-07-07,Meta,Broad,40
2026-06-19,Google,Lookalike,11
2026-07-05,Google,Broad,-2
2026-07-03,Meta,Broad,6
2026-06-07,Meta,B2B,4
2026-08-04,Google,Lookalike,6
2026-07-24,Meta,Lookalike,34
2026-07-22,Meta,Lookalike,21
2026-09-02,Meta,Lookalike,34
2026-06-30,Google,Broad,7
2026-07-25,Meta,Broad,17
2026-05-28,Meta,Lookalike,11
2026-05-25,Meta,B2B,18
2026-06-24,Meta,Lookalike,13
2026-06-27,Meta,B2B,48
2026-09-14,Google,Lookalike,7
2026-08-18,Meta,Lookalike,36
2026-06-24,Meta,Lookalike,1
2026-06-29,Meta,Broad,4
2026-05-29,Meta,Broad,-3
2026-09-13,Google,Broad,24
2026-08-16,Meta,Lookalike,2
2026-06-29,Google,Broad,40
2026-06-15,Meta,Lookalike,7
2026-07-15,Google,Broad,41
2026-07-31,Google,B2B,1
2026-06-22,Meta,Broad,13
2026-07-22,Meta,Broad,10
2026-06-25,Meta,Lookalike,16
2026-08-09,Meta,Lookalike,-3
2026-06-27,Google,Lookalike,47
2026-08-09,Meta,Lookalike,5
2026-07-15,Google,B2B,33
2026-08-18,Meta,Lookalike,20
2026-08-06,Google,Lookalike,12
2026-09-05,Google,B2B,4
2026-07-26,Meta,Lookalike,14
2026-07-27,Google,Lookalike,6
2026-08-24,Google,Broad,46
2026-06-22,Meta,Lookalike,8
2026-09-10,Google,Broad,28
