sector,made_with_ai,brand_2s,distinctive,one_message,scored
Financial services,no,no,no,yes,2026-09-04
Public sector,no,yes,no,no,2026-08-05
Education,yes,yes,yes,no,2026-07-26
Tourism and hospitality,no,no,no,no,2026-09-04
Tourism and hospitality,no,no,no,yes,2026-09-20
Tax and accounting,no,no,no,no,2026-08-20
Tourism and hospitality,no,no,no,yes,2026-07-31
Tourism and hospitality,yes,no,no,no,2026-08-26
Tax and accounting,yes,no,no,no,2026-08-17
Tourism and hospitality,no,yes,no,no,2026-08-28
Tourism and hospitality,no,no,yes,no,2026-08-04
Tourism and hospitality,yes,yes,no,yes,2026-08-02
Public sector,no,no,no,no,2026-07-24
Tax and accounting,yes,yes,yes,yes,2026-07-18
Tourism and hospitality,no,yes,yes,yes,2026-09-01
Financial services,yes,yes,no,yes,2026-08-12
Tourism and hospitality,no,no,yes,yes,2026-08-04
Financial services,yes,yes,no,yes,2026-08-04
Public sector,yes,no,yes,no,2026-07-27
Financial services,no,yes,no,no,2026-05-31
Financial services,yes,no,no,yes,2026-07-03
Financial services,no,no,no,yes,2026-07-14
Financial services,no,no,yes,no,2026-05-26
Education,yes,no,yes,no,2026-07-20
Education,yes,no,yes,yes,2026-07-24
Tourism and hospitality,yes,yes,yes,yes,2026-08-06
Tourism and hospitality,no,yes,no,no,2026-09-06
Tourism and hospitality,yes,yes,no,yes,2026-05-31
Financial services,yes,yes,yes,yes,2026-07-08
Tax and accounting,no,yes,yes,yes,2026-06-26
Tourism and hospitality,yes,no,no,yes,2026-07-04
Education,no,yes,no,no,2026-08-12
Tourism and hospitality,no,yes,no,yes,2026-07-10
Tourism and hospitality,yes,no,yes,no,2026-08-20
Tourism and hospitality,yes,no,no,no,2026-08-30
Tourism and hospitality,no,no,yes,no,2026-08-30
Financial services,yes,no,no,yes,2026-08-21
Tourism and hospitality,no,yes,no,no,2026-09-14
Education,yes,no,no,yes,2026-06-20
Tax and accounting,yes,no,no,yes,2026-06-17
Tourism and hospitality,no,yes,yes,no,2026-06-23
Tourism and hospitality,no,yes,yes,no,2026-07-17
Tourism and hospitality,yes,no,yes,yes,2026-07-20
Tourism and hospitality,yes,yes,yes,yes,2026-07-19
Tax and accounting,yes,no,no,yes,2026-06-25
Education,no,yes,no,no,2026-08-06
Financial services,yes,no,no,yes,2026-08-03
Education,no,yes,no,no,2026-09-08
Financial services,yes,yes,yes,yes,2026-06-12
Tourism and hospitality,yes,yes,yes,no,2026-07-30
Tourism and hospitality,yes,no,no,no,2026-06-04
Education,yes,no,yes,no,2026-09-11
Education,no,no,yes,no,2026-09-09
Public sector,no,no,no,no,2026-07-18
Financial services,yes,yes,no,yes,2026-07-28
Financial services,yes,no,no,no,2026-06-28
Financial services,no,no,yes,yes,2026-06-02
Tourism and hospitality,no,no,yes,yes,2026-05-26
Education,no,yes,no,yes,2026-08-30
Tourism and hospitality,yes,yes,yes,no,2026-05-26
Education,no,yes,no,yes,2026-07-21
Tax and accounting,yes,yes,no,no,2026-07-04
Tax and accounting,no,yes,no,yes,2026-09-04
Tourism and hospitality,no,no,yes,yes,2026-06-26
Public sector,yes,yes,yes,yes,2026-08-31
Education,yes,yes,no,no,2026-06-10
Tourism and hospitality,no,yes,yes,no,2026-07-22
Tourism and hospitality,no,yes,yes,yes,2026-06-02
Education,yes,no,yes,yes,2026-07-11
Tourism and hospitality,yes,yes,yes,no,2026-07-23
Tourism and hospitality,yes,no,no,no,2026-08-12
Public sector,yes,no,yes,yes,2026-07-10
Education,yes,no,no,no,2026-08-16
Financial services,no,yes,no,no,2026-07-09
Tourism and hospitality,yes,yes,no,yes,2026-07-12
Tourism and hospitality,no,no,yes,no,2026-09-07
Tourism and hospitality,no,yes,no,no,2026-07-05
Tourism and hospitality,no,no,yes,yes,2026-08-30
Public sector,no,yes,no,yes,2026-08-19
Financial services,no,no,yes,no,2026-07-30
Tax and accounting,no,yes,no,yes,2026-06-12
Tourism and hospitality,yes,yes,yes,no,2026-07-07
Tourism and hospitality,no,no,yes,yes,2026-07-05
Tourism and hospitality,yes,no,no,yes,2026-08-26
Financial services,yes,yes,no,yes,2026-09-03
Education,yes,no,yes,no,2026-08-26
Tourism and hospitality,yes,no,no,yes,2026-06-07
Tourism and hospitality,yes,yes,no,no,2026-07-29
Tourism and hospitality,no,yes,yes,yes,2026-09-18
Financial services,no,yes,yes,yes,2026-06-10
Tourism and hospitality,yes,no,yes,no,2026-07-17
Tourism and hospitality,no,yes,no,yes,2026-08-29
Education,yes,no,no,yes,2026-07-12
Education,yes,no,yes,no,2026-05-25
Financial services,no,no,yes,no,2026-06-07
Education,yes,no,yes,no,2026-08-03
Education,yes,yes,no,yes,2026-07-17
Tourism and hospitality,yes,yes,yes,yes,2026-08-03
Tourism and hospitality,yes,no,yes,yes,2026-07-21
Tourism and hospitality,no,no,yes,yes,2026-08-01
Education,yes,yes,no,yes,2026-06-11
Public sector,no,yes,yes,no,2026-09-08
Tourism and hospitality,no,no,no,yes,2026-09-12
Education,no,yes,no,no,2026-07-11
Education,no,yes,no,no,2026-07-05
Tourism and hospitality,no,yes,yes,yes,2026-07-29
Tourism and hospitality,no,no,no,yes,2026-09-14
Tourism and hospitality,no,yes,yes,no,2026-05-26
Education,yes,yes,yes,no,2026-08-23
Financial services,yes,yes,yes,no,2026-09-09
Tax and accounting,no,no,yes,no,2026-08-10
Education,yes,yes,no,no,2026-06-19
Tourism and hospitality,no,yes,yes,yes,2026-06-25
Tourism and hospitality,yes,yes,yes,yes,2026-08-27
Financial services,no,yes,no,no,2026-06-05
Tourism and hospitality,yes,no,no,no,2026-08-28
Tourism and hospitality,no,yes,yes,yes,2026-07-19
Financial services,no,yes,no,yes,2026-08-30
