sector,has_chat,replies,seconds,answered,read
Energy,no,no,0,no,2026-07-31
Retail and ecommerce,yes,no,0,no,2026-08-02
Education,no,no,0,no,2026-07-28
Financial services,yes,no,0,no,2026-07-22
Energy,yes,no,0,no,2026-08-25
Professional services,no,no,0,no,2026-09-08
Public sector,no,no,0,no,2026-08-19
Tourism and hospitality,no,no,0,no,2026-07-27
Financial services,no,yes,0,yes,2026-08-20
Energy,yes,no,0,no,2026-07-14
Retail and ecommerce,yes,no,0,no,2026-06-05
Retail and ecommerce,no,yes,0,no,2026-06-17
Energy,no,no,0,no,2026-08-03
Financial services,no,yes,0,yes,2026-05-28
Education,no,yes,0,no,2026-08-29
Energy,yes,no,0,yes,2026-08-21
Financial services,no,yes,0,yes,2026-06-11
Financial services,yes,yes,0,yes,2026-07-26
Professional services,no,no,0,yes,2026-08-06
Energy,no,no,0,yes,2026-06-25
Financial services,no,yes,0,yes,2026-06-27
Professional services,no,yes,0,yes,2026-08-23
Professional services,yes,yes,0,yes,2026-09-05
Professional services,yes,no,0,yes,2026-08-19
Professional services,yes,no,0,no,2026-07-25
Financial services,no,yes,0,no,2026-05-13
Energy,no,yes,0,yes,2026-05-29
Tourism and hospitality,no,no,0,no,2026-08-19
Energy,yes,yes,0,yes,2026-06-25
Energy,yes,yes,0,no,2026-07-02
Tourism and hospitality,yes,no,0,no,2026-07-31
Public sector,yes,yes,0,no,2026-05-20
Retail and ecommerce,no,yes,0,yes,2026-06-30
Professional services,no,no,0,yes,2026-09-03
Education,yes,yes,0,no,2026-06-04
Education,yes,no,0,no,2026-05-16
Professional services,yes,no,0,yes,2026-07-04
Professional services,yes,no,0,no,2026-08-27
Retail and ecommerce,no,yes,0,no,2026-05-25
Energy,no,no,0,yes,2026-05-19
Public sector,no,no,0,yes,2026-06-16
Energy,yes,no,0,yes,2026-07-30
Energy,no,yes,0,no,2026-05-13
Tourism and hospitality,no,yes,0,yes,2026-07-14
Retail and ecommerce,no,no,0,no,2026-08-05
Energy,no,yes,0,yes,2026-08-30
Public sector,yes,yes,0,no,2026-07-07
Energy,yes,no,0,yes,2026-06-09
Retail and ecommerce,yes,no,0,no,2026-06-22
Financial services,no,yes,0,yes,2026-08-10
Financial services,yes,no,0,yes,2026-07-30
Education,yes,no,0,yes,2026-06-23
Public sector,yes,no,0,no,2026-08-02
Retail and ecommerce,yes,no,0,no,2026-09-04
Education,yes,no,0,no,2026-08-17
Financial services,yes,no,0,yes,2026-05-29
Financial services,no,no,0,no,2026-06-11
Education,yes,no,0,yes,2026-05-18
Energy,yes,no,0,no,2026-05-26
Energy,no,yes,0,yes,2026-08-20
Financial services,no,yes,0,no,2026-05-16
Professional services,no,no,0,no,2026-08-22
Energy,yes,yes,0,no,2026-06-26
Public sector,no,yes,0,no,2026-06-19
Energy,yes,yes,0,yes,2026-05-29
Tourism and hospitality,yes,no,0,no,2026-08-08
Tourism and hospitality,no,no,0,yes,2026-05-31
Education,no,yes,0,yes,2026-08-29
Financial services,no,yes,0,yes,2026-07-08
Public sector,no,no,0,no,2026-05-30
Professional services,no,yes,0,no,2026-07-15
Education,yes,yes,0,yes,2026-09-04
Professional services,yes,no,0,no,2026-08-27
Energy,yes,no,0,yes,2026-07-28
Tourism and hospitality,no,yes,0,no,2026-05-15
Public sector,yes,yes,0,yes,2026-06-17
Energy,no,yes,0,no,2026-07-13
Retail and ecommerce,yes,no,0,yes,2026-05-18
Professional services,no,no,0,yes,2026-05-15
Retail and ecommerce,yes,no,0,no,2026-06-29
Financial services,yes,yes,0,no,2026-08-28
Tourism and hospitality,yes,no,0,no,2026-08-26
Professional services,yes,no,0,no,2026-08-18
Energy,no,yes,0,no,2026-05-22
Financial services,no,no,0,yes,2026-07-24
Financial services,yes,yes,0,yes,2026-06-05
Tourism and hospitality,yes,yes,0,no,2026-05-29
Tourism and hospitality,no,yes,0,no,2026-07-01
Education,yes,yes,0,no,2026-09-03
Energy,yes,yes,0,yes,2026-07-08
Tourism and hospitality,yes,yes,0,yes,2026-06-25
Tourism and hospitality,yes,no,0,yes,2026-05-29
Financial services,no,yes,0,yes,2026-07-22
Public sector,yes,no,0,yes,2026-08-17
Energy,no,no,0,no,2026-08-04
Public sector,no,no,0,yes,2026-07-21
Tourism and hospitality,no,no,0,yes,2026-09-04
Financial services,no,no,0,no,2026-06-30
Retail and ecommerce,yes,no,0,no,2026-07-08
Energy,yes,yes,0,no,2026-07-16
Tourism and hospitality,no,yes,0,no,2026-06-03
Public sector,yes,no,0,yes,2026-08-24
Public sector,no,yes,0,no,2026-06-21
Energy,no,no,0,yes,2026-08-08
Professional services,yes,yes,0,no,2026-07-10
Energy,yes,yes,0,yes,2026-08-01
Education,yes,no,0,yes,2026-05-15
Energy,no,no,0,no,2026-07-10
Energy,yes,no,0,no,2026-06-19
Energy,no,no,0,no,2026-05-26
Professional services,yes,yes,0,no,2026-08-17
Retail and ecommerce,no,yes,0,yes,2026-05-21
Tourism and hospitality,yes,yes,0,yes,2026-07-27
Retail and ecommerce,yes,no,0,no,2026-08-10
Professional services,yes,yes,0,yes,2026-08-20
Energy,no,yes,0,yes,2026-06-23
Public sector,yes,no,0,yes,2026-07-21
Education,yes,no,0,no,2026-07-28
Professional services,yes,no,0,no,2026-06-27
Financial services,no,no,0,no,2026-08-11
Retail and ecommerce,yes,no,0,no,2026-07-01
Energy,yes,yes,0,no,2026-08-29
Education,yes,no,0,no,2026-06-02
Energy,no,yes,0,yes,2026-08-04
Tourism and hospitality,yes,no,0,no,2026-06-10
Education,yes,yes,0,yes,2026-07-25
Professional services,yes,yes,0,yes,2026-05-29
Energy,yes,yes,0,no,2026-06-26
Financial services,no,no,0,yes,2026-07-04
Financial services,yes,no,0,no,2026-05-15
Energy,no,yes,0,no,2026-06-07
Energy,no,yes,0,no,2026-09-02
Tourism and hospitality,no,yes,0,no,2026-06-26
Tourism and hospitality,no,no,0,no,2026-05-12
Professional services,yes,no,0,yes,2026-07-12
Energy,yes,no,0,yes,2026-05-15
Energy,yes,no,0,yes,2026-06-02
Retail and ecommerce,yes,no,0,yes,2026-07-05
Energy,no,no,0,yes,2026-06-16
Financial services,yes,yes,0,no,2026-06-26
Energy,yes,yes,0,yes,2026-08-10
Education,no,yes,0,yes,2026-08-23
Retail and ecommerce,no,yes,0,yes,2026-05-24
Energy,no,yes,0,yes,2026-05-16
Education,no,no,0,yes,2026-05-22
Public sector,yes,no,0,no,2026-08-14
Energy,yes,no,0,no,2026-06-07
Professional services,no,yes,0,yes,2026-08-23
Energy,no,no,0,yes,2026-05-20
Financial services,yes,yes,0,yes,2026-07-23
Public sector,yes,no,0,yes,2026-05-25
Energy,yes,no,0,yes,2026-07-04
Tourism and hospitality,no,no,0,no,2026-08-13
Public sector,yes,yes,0,no,2026-08-19
Tourism and hospitality,yes,yes,0,yes,2026-06-10
Energy,yes,no,0,no,2026-07-12
Professional services,no,no,0,no,2026-07-11
Public sector,yes,yes,0,yes,2026-05-28
Tourism and hospitality,no,no,0,yes,2026-05-29
Public sector,yes,yes,0,no,2026-05-26
Professional services,yes,no,0,yes,2026-05-16
Financial services,no,no,0,no,2026-07-15
Financial services,yes,yes,0,no,2026-05-29
Energy,yes,no,0,yes,2026-07-09
Education,yes,no,0,yes,2026-08-24
Education,no,yes,0,no,2026-07-23
Public sector,yes,no,0,yes,2026-05-23
Tourism and hospitality,yes,yes,0,no,2026-09-01
Public sector,yes,yes,0,no,2026-07-16
Retail and ecommerce,no,no,0,yes,2026-06-26
Energy,no,yes,0,yes,2026-07-05
Professional services,yes,yes,0,no,2026-06-25
Public sector,no,no,0,yes,2026-06-28
Professional services,no,no,0,yes,2026-06-10
Energy,no,no,0,no,2026-08-14
Financial services,yes,yes,0,yes,2026-07-27
Professional services,yes,no,0,no,2026-08-03
Tourism and hospitality,yes,no,0,no,2026-08-01
Retail and ecommerce,no,no,0,yes,2026-08-05
Retail and ecommerce,yes,yes,0,yes,2026-08-25
Financial services,yes,no,0,yes,2026-08-05
Public sector,no,no,0,yes,2026-06-04
Professional services,yes,yes,0,yes,2026-07-23
Retail and ecommerce,yes,yes,0,no,2026-06-12
Professional services,yes,no,0,yes,2026-08-29
Tourism and hospitality,no,no,0,yes,2026-07-10
Financial services,yes,yes,0,yes,2026-08-23
Tourism and hospitality,no,no,0,yes,2026-05-22
Energy,no,no,0,no,2026-07-27
Financial services,no,yes,0,no,2026-07-29
Energy,yes,yes,0,no,2026-08-12
Professional services,yes,yes,0,no,2026-06-19
Retail and ecommerce,yes,no,0,yes,2026-09-01
Energy,yes,no,0,yes,2026-07-11
Energy,yes,yes,0,no,2026-06-07
Professional services,yes,no,0,no,2026-08-16
Professional services,no,yes,0,yes,2026-08-19
Education,yes,no,0,no,2026-05-23
Energy,yes,no,0,yes,2026-08-05
Energy,yes,no,0,yes,2026-08-08
Public sector,yes,yes,0,yes,2026-06-03
Energy,no,no,0,yes,2026-07-27
Public sector,no,yes,0,yes,2026-05-25
Education,yes,no,0,yes,2026-08-30
Energy,no,yes,0,no,2026-06-06
Tourism and hospitality,no,yes,0,yes,2026-05-19
Education,yes,no,0,yes,2026-07-24
Energy,no,no,0,yes,2026-08-19
Retail and ecommerce,yes,yes,0,yes,2026-05-30
Professional services,no,yes,0,yes,2026-06-26
Public sector,yes,yes,0,yes,2026-07-27
Professional services,no,no,0,no,2026-07-21
Energy,no,no,0,yes,2026-06-04
Education,no,yes,0,no,2026-08-09
Financial services,no,no,0,yes,2026-07-08
Tourism and hospitality,yes,yes,0,yes,2026-07-29
Public sector,yes,yes,0,yes,2026-08-28
Education,yes,no,0,yes,2026-07-28
Retail and ecommerce,yes,no,0,no,2026-06-22
Tourism and hospitality,yes,no,0,yes,2026-08-26
Retail and ecommerce,yes,no,0,no,2026-09-03
Energy,yes,no,0,no,2026-08-12
Public sector,no,no,0,yes,2026-06-16
Public sector,no,no,0,yes,2026-07-09
Professional services,yes,yes,0,yes,2026-07-01
Tourism and hospitality,no,no,0,no,2026-05-12
Tourism and hospitality,yes,yes,0,yes,2026-07-06
Professional services,yes,no,0,no,2026-08-30
Public sector,yes,no,0,yes,2026-09-07
Retail and ecommerce,no,no,0,no,2026-08-06
Energy,yes,no,0,no,2026-07-06
Financial services,no,no,0,yes,2026-06-29
Energy,yes,no,0,yes,2026-09-03
Tourism and hospitality,no,yes,0,no,2026-07-03
Public sector,yes,no,0,yes,2026-07-30
Financial services,no,no,0,yes,2026-07-17
