advertiser,sector,platform,format,first_seen,ai_look
ADV-248,Public sector,Meta,Video,2026-08-08,no
ADV-159,Media and publishing,Google,Video,2026-08-05,yes
ADV-545,Energy,Meta,Video,2026-08-06,no
ADV-312,Technology and SaaS,Meta,Carousel,2026-08-23,no
ADV-172,Media and publishing,Google,Static,2026-07-25,no
ADV-429,Retail and ecommerce,Google,Video,2026-09-12,yes
ADV-944,Education,Google,Carousel,2026-07-29,yes
ADV-835,Technology and SaaS,Meta,Carousel,2026-07-24,no
ADV-835,Education,Meta,Video,2026-08-12,yes
ADV-312,Public sector,Google,Video,2026-05-21,no
ADV-545,Energy,Meta,Carousel,2026-05-17,no
ADV-248,Technology and SaaS,Google,Video,2026-09-11,no
ADV-172,Energy,Google,Video,2026-06-27,yes
ADV-248,Public sector,Meta,Static,2026-08-28,no
ADV-835,Technology and SaaS,Meta,Video,2026-08-31,yes
ADV-835,Public sector,Google,Video,2026-05-16,no
ADV-248,Public sector,Google,Video,2026-06-29,no
ADV-312,Technology and SaaS,Meta,Video,2026-08-26,no
ADV-172,Education,Google,Video,2026-06-26,no
ADV-172,Energy,Meta,Video,2026-06-01,yes
ADV-545,Media and publishing,Google,Carousel,2026-09-08,no
ADV-545,Education,Meta,Static,2026-08-08,no
ADV-944,Energy,Meta,Video,2026-07-28,no
ADV-429,Education,Google,Video,2026-08-24,no
ADV-429,Technology and SaaS,Google,Carousel,2026-07-12,yes
ADV-172,Education,Meta,Static,2026-05-25,no
ADV-312,Retail and ecommerce,Meta,Carousel,2026-07-12,yes
ADV-312,Energy,Meta,Static,2026-06-22,yes
ADV-248,Media and publishing,Google,Static,2026-06-27,yes
ADV-429,Education,Google,Video,2026-06-29,yes
ADV-172,Public sector,Google,Carousel,2026-07-16,yes
ADV-429,Media and publishing,Google,Video,2026-08-03,no
ADV-248,Technology and SaaS,Meta,Carousel,2026-07-29,no
ADV-312,Technology and SaaS,Meta,Carousel,2026-06-11,no
ADV-172,Media and publishing,Meta,Carousel,2026-08-26,no
ADV-172,Technology and SaaS,Meta,Static,2026-06-10,no
ADV-835,Media and publishing,Meta,Video,2026-08-10,no
ADV-172,Media and publishing,Google,Video,2026-07-08,yes
ADV-159,Media and publishing,Meta,Carousel,2026-07-09,no
ADV-172,Media and publishing,Google,Video,2026-08-22,yes
ADV-944,Energy,Meta,Video,2026-06-03,yes
ADV-545,Technology and SaaS,Google,Carousel,2026-05-25,no
ADV-248,Education,Google,Static,2026-07-16,yes
ADV-172,Education,Meta,Video,2026-05-27,no
ADV-172,Public sector,Google,Video,2026-07-19,no
ADV-159,Public sector,Meta,Video,2026-08-27,yes
ADV-159,Technology and SaaS,Google,Carousel,2026-08-27,yes
ADV-944,Media and publishing,Google,Static,2026-08-24,yes
ADV-312,Education,Meta,Carousel,2026-08-26,no
ADV-159,Education,Google,Video,2026-06-03,no
ADV-429,Media and publishing,Google,Video,2026-08-27,yes
ADV-429,Technology and SaaS,Google,Carousel,2026-07-31,no
ADV-835,Energy,Google,Carousel,2026-05-26,no
ADV-429,Technology and SaaS,Google,Video,2026-09-10,yes
ADV-159,Energy,Meta,Video,2026-07-06,no
ADV-944,Media and publishing,Google,Carousel,2026-05-18,no
ADV-429,Retail and ecommerce,Meta,Video,2026-08-01,no
ADV-835,Media and publishing,Google,Static,2026-08-05,yes
ADV-545,Public sector,Google,Carousel,2026-07-30,no
ADV-944,Technology and SaaS,Google,Video,2026-06-30,yes
ADV-312,Retail and ecommerce,Meta,Video,2026-08-12,no
ADV-248,Media and publishing,Google,Static,2026-08-04,no
ADV-835,Energy,Google,Video,2026-06-02,yes
ADV-545,Media and publishing,Meta,Video,2026-06-28,no
ADV-545,Retail and ecommerce,Google,Video,2026-07-23,yes
ADV-159,Education,Meta,Video,2026-05-31,no
ADV-312,Technology and SaaS,Google,Carousel,2026-09-06,yes
ADV-248,Technology and SaaS,Meta,Video,2026-06-28,no
ADV-545,Technology and SaaS,Meta,Carousel,2026-06-25,no
ADV-159,Technology and SaaS,Meta,Video,2026-07-23,no
ADV-248,Media and publishing,Meta,Carousel,2026-08-13,no
ADV-545,Energy,Meta,Static,2026-07-29,no
ADV-545,Media and publishing,Google,Carousel,2026-06-23,yes
ADV-944,Energy,Meta,Static,2026-05-25,yes
ADV-835,Technology and SaaS,Google,Video,2026-08-30,no
ADV-545,Technology and SaaS,Meta,Video,2026-08-08,no
ADV-429,Media and publishing,Meta,Video,2026-06-19,no
ADV-835,Retail and ecommerce,Google,Video,2026-05-27,no
ADV-159,Media and publishing,Google,Video,2026-07-31,no
ADV-248,Technology and SaaS,Meta,Carousel,2026-07-22,yes
ADV-545,Media and publishing,Google,Static,2026-06-04,yes
ADV-429,Education,Meta,Carousel,2026-08-29,no
ADV-944,Media and publishing,Meta,Static,2026-07-19,no
ADV-429,Technology and SaaS,Meta,Video,2026-06-12,yes
ADV-248,Education,Google,Static,2026-05-21,yes
ADV-944,Media and publishing,Google,Video,2026-05-30,yes
