role,level,county,low,high,posted
SEO,Manager,Meath,41000,61500,2026-07-25
Ecommerce,Head,Sligo,37500,67500,2026-07-30
SEO,Manager,Kerry,62000,71000,2026-08-13
Content and social,Executive,Donegal,58000,97500,2026-09-18
Head of marketing,Head,Mayo,37500,118500,2026-08-23
Brand,Entry,Clare,43500,72500,2026-09-14
Marketing operations,Manager,Cork,48500,62500,2026-09-20
Product marketing,Head,Clare,50000,62000,2026-09-08
SEO,Head,Kerry,39800,47500,2026-06-13
SEO,Manager,Kerry,34700,73200,2026-07-10
Product marketing,Head,Donegal,63300,70800,2026-09-19
Marketing operations,Head,Mayo,52300,89900,2026-07-22
Ecommerce,Manager,Clare,35100,130900,2026-07-28
SEO,Head,Mayo,38200,68700,2026-07-15
Marketing operations,Executive,Mayo,44300,56800,2026-06-28
Ecommerce,Head,Cork,49400,73000,2026-07-30
SEO,Manager,Kerry,37200,51500,2026-08-30
Content and social,Manager,Clare,30500,68100,2026-08-18
Product marketing,Executive,Clare,67400,54000,2026-07-09
Content and social,Manager,Mayo,52300,81500,2026-06-18
Head of marketing,Entry,Meath,30300,112100,2026-07-27
Marketing operations,Head,Kerry,39200,87300,2026-08-19
Ecommerce,Manager,Meath,51400,73600,2026-09-19
Marketing operations,Head,Mayo,57000,61100,2026-09-12
SEO,Head,Meath,45800,57400,2026-06-17
Head of marketing,Head,Sligo,31500,64100,2026-09-10
Brand,Entry,Clare,62200,75400,2026-05-26
SEO,Head,Donegal,53600,101400,2026-09-18
Marketing operations,Head,Mayo,32400,111700,2026-09-06
Ecommerce,Head,Donegal,43700,75600,2026-08-30
Marketing operations,Entry,Mayo,47800,63200,2026-07-11
Product marketing,Manager,Mayo,53700,51100,2026-06-18
Brand,Head,Mayo,43500,76000,2026-09-18
Brand,Manager,Clare,31900,81900,2026-08-21
Ecommerce,Executive,Clare,67400,61200,2026-09-15
Product marketing,Head,Meath,58800,108000,2026-06-17
Ecommerce,Head,Mayo,34100,114700,2026-06-09
Product marketing,Manager,Kerry,37500,66200,2026-09-15
Content and social,Head,Cork,51400,67000,2026-07-05
Head of marketing,Head,Mayo,50300,72100,2026-09-10
Brand,Head,Clare,47800,50900,2026-07-18
SEO,Head,Donegal,30900,63600,2026-07-07
SEO,Head,Donegal,65000,78800,2026-08-14
Marketing operations,Manager,Mayo,65300,89700,2026-08-23
Product marketing,Head,Clare,44300,101800,2026-08-02
Brand,Manager,Mayo,37800,83000,2026-08-13
Product marketing,Entry,Donegal,45100,72000,2026-06-29
Product marketing,Manager,Clare,54900,76400,2026-08-31
Brand,Executive,Cork,41400,46900,2026-09-07
Head of marketing,Head,Donegal,37000,61600,2026-07-03
Marketing operations,Executive,Mayo,66300,86400,2026-08-26
Product marketing,Head,Meath,56700,100100,2026-09-17
Content and social,Manager,Clare,40600,119000,2026-09-02
SEO,Head,Clare,43400,73900,2026-07-29
