sector,county,tools,crm,ai_tool,read
Food and drink,Kildare,5,yes,no,2026-07-29
Tourism and hospitality,Wexford,28,no,no,2026-08-29
Food and drink,Mayo,27,no,yes,2026-09-09
Tourism and hospitality,Galway,3,yes,yes,2026-09-17
Tax and accounting,Clare,14,yes,no,2026-08-14
Tax and accounting,Tipperary,22,no,no,2026-08-03
Motor,Galway,20,no,no,2026-09-14
Energy,Donegal,21,yes,no,2026-09-20
Tourism and hospitality,Clare,8,yes,yes,2026-06-09
Tourism and hospitality,Tipperary,35,yes,no,2026-08-07
Food and drink,Donegal,22,no,no,2026-08-11
Motor,Donegal,0,no,yes,2026-06-28
Tax and accounting,Mayo,14,yes,no,2026-07-30
Tourism and hospitality,Wexford,20,no,no,2026-08-15
Tax and accounting,Kildare,21,no,no,2026-05-31
Motor,Donegal,27,no,no,2026-06-27
Tax and accounting,Donegal,4,yes,yes,2026-05-26
Tourism and hospitality,Galway,32,no,yes,2026-07-10
Energy,Wexford,25,yes,no,2026-08-14
Food and drink,Wexford,2,no,no,2026-06-03
Energy,Wexford,13,no,no,2026-08-13
Food and drink,Donegal,22,yes,no,2026-06-14
Food and drink,Kildare,14,no,yes,2026-05-29
Tourism and hospitality,Galway,21,no,no,2026-08-18
Energy,Galway,9,no,yes,2026-08-14
Energy,Mayo,29,yes,no,2026-08-28
Motor,Galway,29,yes,yes,2026-09-02
Tourism and hospitality,Clare,2,yes,no,2026-09-18
Tax and accounting,Donegal,15,yes,no,2026-06-22
Energy,Mayo,26,no,no,2026-07-20
Food and drink,Galway,14,no,yes,2026-05-25
Food and drink,Kildare,17,no,yes,2026-07-11
Tax and accounting,Kildare,12,no,no,2026-07-18
Tourism and hospitality,Galway,24,no,no,2026-07-24
Tax and accounting,Wexford,32,no,no,2026-07-26
Food and drink,Mayo,8,no,yes,2026-08-24
Tax and accounting,Tipperary,21,yes,no,2026-07-25
Tourism and hospitality,Mayo,29,yes,no,2026-09-19
Tax and accounting,Donegal,17,yes,yes,2026-08-12
Tourism and hospitality,Kildare,16,yes,no,2026-07-16
Food and drink,Clare,8,yes,no,2026-06-25
Tourism and hospitality,Galway,23,no,yes,2026-07-02
Tourism and hospitality,Kildare,26,yes,no,2026-07-22
Food and drink,Mayo,10,no,yes,2026-08-31
Food and drink,Clare,8,no,no,2026-08-13
Motor,Mayo,21,no,yes,2026-08-03
Motor,Tipperary,22,yes,yes,2026-08-18
Food and drink,Kildare,18,no,yes,2026-07-08
Tax and accounting,Clare,5,yes,no,2026-08-02
Tax and accounting,Tipperary,28,yes,no,2026-07-26
Motor,Galway,24,yes,yes,2026-07-10
Tax and accounting,Wexford,10,yes,no,2026-07-25
Motor,Kildare,13,no,yes,2026-08-09
Tax and accounting,Tipperary,24,no,yes,2026-06-18
Tourism and hospitality,Donegal,27,yes,no,2026-06-22
Tax and accounting,Galway,19,no,no,2026-07-29
