buyer_type,category,value_band,closes,county
State agency,Marketing,Under €25k,2026-09-05,Waterford
Local authority,Training,€25k to €50k,2026-09-12,Galway
Local authority,Training,Under €25k,2026-08-13,Limerick
Health body,Marketing,Under €25k,2026-07-30,Waterford
University,AI,Under €25k,2026-07-23,Galway
University,Marketing,Under €25k,2026-07-23,Cork
University,AI,€50k to €150k,2026-08-30,Wicklow
Local authority,Training,€50k to €150k,2026-08-25,Clare
University,Marketing,€50k to €150k,2026-09-11,Waterford
University,AI,Under €25k,2026-08-27,Galway
State agency,Training,€50k to €150k,2026-05-28,Galway
Local authority,Training,Under €25k,2026-08-24,Wicklow
Health body,AI,Under €25k,2026-09-07,Cork
Local authority,Training,Under €25k,2026-05-19,Galway
Health body,Training,Under €25k,2026-06-15,Waterford
State agency,Marketing,€25k to €50k,2026-06-12,Limerick
Health body,Marketing,Under €25k,2026-09-09,Galway
Local authority,Marketing,€50k to €150k,2026-08-13,Galway
Local authority,Training,Under €25k,2026-05-26,Wicklow
State agency,Marketing,Under €25k,2026-07-01,Galway
University,Marketing,Under €25k,2026-07-18,Galway
State agency,Marketing,Under €25k,2026-08-03,Galway
University,Marketing,€50k to €150k,2026-08-12,Galway
University,AI,Under €25k,2026-05-22,Clare
Local authority,AI,€50k to €150k,2026-08-22,Waterford
University,Training,Under €25k,2026-08-06,Limerick
University,Marketing,Under €25k,2026-08-21,Clare
University,AI,Under €25k,2026-05-30,Waterford
State agency,Training,€25k to €50k,2026-09-08,Cork
Local authority,AI,€50k to €150k,2026-06-07,Galway
Health body,AI,Under €25k,2026-06-02,Galway
State agency,Marketing,Under €25k,2026-05-30,Clare
University,Training,Under €25k,2026-08-11,Cork
Local authority,Marketing,Under €25k,2026-05-23,Waterford
University,Training,Under €25k,2026-09-05,Galway
University,Marketing,Under €25k,2026-06-12,Clare
State agency,AI,Under €25k,2026-06-06,Waterford
University,Training,Under €25k,2026-08-23,Waterford
Health body,Marketing,Under €25k,2026-07-21,Galway
University,Training,Under €25k,2026-06-22,Waterford
University,Marketing,Under €25k,2026-07-02,Waterford
State agency,Training,€50k to €150k,2026-09-01,Limerick
University,Marketing,Under €25k,2026-06-23,Waterford
University,Marketing,Under €25k,2026-09-06,Galway
State agency,Marketing,€50k to €150k,2026-08-10,Cork
State agency,Marketing,Under €25k,2026-07-11,Waterford
Local authority,Training,€50k to €150k,2026-09-04,Limerick
University,Training,Under €25k,2026-08-07,Limerick
State agency,AI,Under €25k,2026-06-20,Cork
University,Training,€25k to €50k,2026-07-17,Wicklow
Health body,Training,€25k to €50k,2026-05-20,Galway
University,Marketing,Under €25k,2026-05-25,Wicklow
University,Marketing,Under €25k,2026-05-24,Wicklow
