sector,channel,hours,answered,sent
Public sector,Chat,28.6,no,2026-08-30
Financial services,Chat,10.4,no,2026-07-31
Tax and accounting,Phone,46.9,yes,2026-07-28
Professional services,Email,30.7,no,2026-07-28
Retail and ecommerce,Phone,20.8,no,2026-07-28
Motor,Phone,6.8,no,2026-09-02
Financial services,Email,0.8,no,2026-08-10
Public sector,Email,20,no,2026-08-02
Retail and ecommerce,Phone,17.6,yes,2026-07-21
Financial services,Chat,16.1,yes,2026-07-19
Professional services,Phone,43,yes,2026-07-17
Public sector,Phone,21.9,no,2026-06-12
Retail and ecommerce,Phone,23.2,no,2026-06-12
Public sector,Email,8.3,yes,2026-05-26
Financial services,Phone,12.6,yes,2026-07-28
Public sector,Phone,31.4,no,2026-07-23
Financial services,Chat,20.4,no,2026-06-27
Financial services,Phone,11.4,no,2026-07-06
Tax and accounting,Phone,51.3,no,2026-06-05
Financial services,Email,25,yes,2026-08-30
Financial services,Email,34.2,yes,2026-08-06
Professional services,Chat,9.5,yes,2026-08-06
Motor,Email,-4.2,yes,2026-08-01
Tax and accounting,Phone,30.1,no,2026-06-02
Public sector,Email,16.5,yes,2026-07-11
Public sector,Chat,12.3,yes,2026-05-28
Motor,Chat,45.2,yes,2026-07-11
Public sector,Chat,41,no,2026-06-17
Professional services,Phone,18.1,no,2026-07-17
Financial services,Phone,-2.9,yes,2026-07-05
Professional services,Email,-12.2,no,2026-07-04
Public sector,Phone,18.4,yes,2026-06-11
Financial services,Phone,26.7,yes,2026-07-18
Public sector,Chat,14.7,yes,2026-06-16
Retail and ecommerce,Phone,56.3,no,2026-07-18
Tax and accounting,Email,43.2,yes,2026-06-05
Motor,Chat,18,no,2026-06-27
Professional services,Phone,19.2,no,2026-05-07
Professional services,Email,-9,yes,2026-07-31
Retail and ecommerce,Email,16.3,yes,2026-05-24
Public sector,Chat,28.1,no,2026-07-23
Motor,Email,9.7,no,2026-07-22
Tax and accounting,Email,43.1,yes,2026-06-17
Motor,Email,43.9,yes,2026-05-08
Public sector,Email,25.2,yes,2026-05-16
Financial services,Email,6.3,yes,2026-08-02
Tax and accounting,Email,-7,no,2026-05-25
Tax and accounting,Email,7.6,no,2026-06-29
Public sector,Email,23.7,yes,2026-06-08
Motor,Email,12.4,no,2026-08-22
Financial services,Phone,40.3,no,2026-07-03
Motor,Email,19.6,no,2026-05-27
Financial services,Email,33.7,no,2026-06-30
Financial services,Chat,10.2,yes,2026-06-01
Retail and ecommerce,Phone,-5.4,no,2026-05-23
Financial services,Chat,30.7,no,2026-05-13
Professional services,Email,17.7,yes,2026-06-10
Public sector,Email,21.8,yes,2026-05-31
Public sector,Email,37,yes,2026-08-22
