sector,county,staff,uses_ai,monthly_spend,round
Property,Mayo,47,no,62,H2 2025
Public sector,Limerick,33,no,122,H2 2025
Professional services,Louth,48,no,160,H2 2025
Retail and ecommerce,Kildare,22,yes,153,H1 2026
Professional services,Louth,46,yes,226,H1 2026
Tourism and hospitality,Cork,18,yes,248,H2 2025
Health,Galway,44,no,38,H1 2026
Financial services,Meath,2,no,368,H1 2026
Professional services,Meath,59,no,35,H1 2026
Professional services,Louth,22,yes,44,H1 2026
Health,Kildare,38,no,188,H2 2025
Retail and ecommerce,Mayo,9,no,99,H2 2025
Professional services,Meath,40,no,317,H2 2025
Health,Louth,13,no,272,H1 2026
Property,Galway,37,no,93,H2 2025
Tourism and hospitality,Kildare,4,no,364,H2 2025
Public sector,Meath,38,no,75,H2 2025
Financial services,Louth,35,no,112,H2 2025
Tourism and hospitality,Cork,38,yes,189,H1 2026
Tourism and hospitality,Mayo,29,no,232,H1 2026
Financial services,Galway,56,yes,300,H1 2026
Retail and ecommerce,Mayo,12,yes,207,H1 2026
Property,Meath,44,yes,84,H1 2026
Health,Louth,7,yes,312,H2 2025
Financial services,Louth,36,yes,83,H2 2025
Professional services,Limerick,34,no,109,H2 2025
Property,Mayo,44,yes,62,H1 2026
Health,Galway,26,no,183,H1 2026
Professional services,Cork,50,yes,180,H2 2025
Retail and ecommerce,Louth,21,no,261,H2 2025
Professional services,Mayo,50,yes,43,H2 2025
Property,Louth,-11,yes,297,H1 2026
Professional services,Cork,52,no,158,H1 2026
Financial services,Meath,44,yes,47,H1 2026
Health,Galway,59,yes,69,H1 2026
Financial services,Cork,29,yes,120,H1 2026
Retail and ecommerce,Louth,54,yes,136,H2 2025
Professional services,Cork,26,no,207,H2 2025
Property,Louth,40,yes,74,H1 2026
Property,Cork,-2,no,463,H2 2025
Property,Mayo,58,yes,141,H1 2026
Health,Cork,37,yes,115,H1 2026
Property,Limerick,48,no,136,H2 2025
Professional services,Cork,13,no,88,H1 2026
Professional services,Kildare,38,yes,143,H1 2026
Professional services,Louth,21,no,273,H1 2026
Professional services,Meath,57,yes,-25,H2 2025
Tourism and hospitality,Kildare,-6,yes,411,H2 2025
Retail and ecommerce,Louth,37,no,26,H1 2026
Public sector,Mayo,31,yes,23,H2 2025
