member_id,sent_at,opened,replied,reply_text
Z0815,2026-08-31 08:02,yes,yes,"Thank you, work has been mad. Booking the Tuesday class now."
Z0831,2026-08-31 08:02,yes,no,
Z0819,2026-08-31 08:02,yes,yes,"Thank you, work has been mad. Booking the Tuesday class now."
Z0851,2026-08-31 08:02,yes,yes,"Ha, caught me. Back this week."
Z0865,2026-08-31 08:02,yes,no,
Z0823,2026-08-31 08:02,yes,no,
Z0817,2026-08-31 08:02,yes,no,
Z0860,2026-08-31 08:02,no,no,
Z0811,2026-08-31 08:02,no,no,
Z0850,2026-08-31 08:02,yes,no,
Z0846,2026-08-31 08:02,no,no,
Z0824,2026-08-31 08:02,no,no,
Z0833,2026-08-31 08:02,no,no,
Z0809,2026-08-31 08:02,yes,no,
Z0801,2026-08-31 08:02,yes,no,
Z0844,2026-08-31 08:02,yes,no,
Z0825,2026-08-31 08:02,yes,no,
Z0837,2026-08-31 08:02,yes,no,
Z0852,2026-08-31 08:02,no,no,
Z0805,2026-08-31 08:02,yes,no,
Z0804,2026-08-31 08:02,yes,no,
Z0855,2026-08-31 08:02,yes,no,
Z0834,2026-08-31 08:02,no,no,
Z0861,2026-08-31 08:02,yes,no,
Z0828,2026-08-31 08:02,yes,no,
Z0847,2026-08-31 08:02,no,no,
Z0803,2026-08-31 08:02,yes,no,
Z0816,2026-08-31 08:02,no,no,
Z0845,2026-08-31 08:02,yes,no,
Z0858,2026-08-31 08:02,yes,no,
Z0808,2026-08-31 08:02,yes,no,
Z0840,2026-08-31 08:02,yes,yes,"Ha, caught me. Back this week."
Z0835,2026-08-31 08:02,yes,no,
Z0857,2026-08-31 08:02,yes,no,
Z0810,2026-08-31 08:02,yes,no,
Z0853,2026-08-31 08:02,yes,yes,"Honestly I want to cancel, the classes I liked were moved to 7am."
Z0856,2026-08-31 08:02,yes,no,
Z0839,2026-08-31 08:02,no,no,
Z0849,2026-08-31 08:02,no,no,
Z0841,2026-08-31 08:02,yes,no,
Z0836,2026-08-31 08:02,yes,no,
Z0859,2026-08-31 08:02,yes,no,
Z0864,2026-08-31 08:02,yes,no,
Z0812,2026-08-31 08:02,yes,no,
Z0830,2026-08-31 08:02,yes,no,
Z0827,2026-08-31 08:02,no,no,
Z0820,2026-08-31 08:02,no,no,
Z0863,2026-08-31 08:02,yes,no,
Z0802,2026-08-31 08:02,yes,no,
Z0842,2026-08-31 08:02,yes,no,
Z0832,2026-08-31 08:02,yes,yes,"Ha, caught me. Back this week."
Z0843,2026-08-31 08:02,no,no,
Z0818,2026-08-31 08:02,no,no,
Z0807,2026-08-31 08:02,yes,no,
Z0854,2026-08-31 08:02,yes,no,
Z0822,2026-08-31 08:02,yes,yes,Who is this? I did not sign up for emails.
Z0862,2026-08-31 08:02,no,no,
Z0848,2026-08-31 08:02,yes,yes,"Ha, caught me. Back this week."
Z0806,2026-08-31 08:02,yes,no,
Z0838,2026-08-31 08:02,yes,no,
Z0813,2026-08-31 08:02,yes,no,
Z0829,2026-08-31 08:02,yes,no,
Z0826,2026-08-31 08:02,no,no,
Z0814,2026-08-31 08:02,no,no,
Z0821,2026-08-31 08:02,yes,no,
